target,in_degree,out_degree,number_of_dependencies,number_of_dependents,num_of_source_files,critical_path
//:clang,2,2,5,2,0,False
//:clang_on_linux,3,1,7,1,0,False
//:default_javac_options,1,2,1,2,0,False
//:java_non_prebuilt,10,1,87,1,0,False
//:java_non_prebuilt_definition,3,1,3,1,0,False
//:java_non_prebuilt_version_setting,1,2,1,2,0,False
//:jazzer,2,1,11,1,103,False
//:jazzer_release,6,1,28,1,103,True
//:kotlin_toolchain,2,1,2,1,0,False
//:kotlin_toolchain_impl,18,1,156,1,0,False
//:kotlinc_options,1,2,1,2,0,False
//:x64_windows-clang-cl,4,1,7,1,0,False
//agent/src/jmh/java/com/code_intelligence/jazzer:JmhGeneratorAnnotationProcessor,6,4,14,12,0,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:CoverageInstrumentationBenchmark,7,1,38,1,44,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:CoverageInstrumentationBenchmarkTest,16,1,56,1,44,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:EdgeCoverageInstrumentationBenchmark,7,1,34,1,49,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:EdgeCoverageInstrumentationBenchmarkTest,16,1,52,1,49,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:coverage_instrumentation_benchmark,12,3,188,3,44,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:edge_coverage_instrumentation_benchmark,3,3,191,3,49,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:edge_coverage_instrumentation_benchmark.hdrs,6,1,184,1,40,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:edge_coverage_instrumentation_benchmark_remove_this_part_,13,3,197,5,40,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:kotlin_strategies,13,2,185,4,37,False
//agent/src/jmh/java/com/code_intelligence/jazzer/instrumentor:strategies,14,2,190,4,42,False
//agent/src/jmh/java/com/code_intelligence/jazzer/runtime:FuzzerCallbacksBenchmark,7,1,11,1,7,False
//agent/src/jmh/java/com/code_intelligence/jazzer/runtime:FuzzerCallbacksBenchmarkTest,16,1,29,1,7,False
//agent/src/jmh/java/com/code_intelligence/jazzer/runtime:fuzzer_callbacks,3,2,21,4,6,False
//agent/src/jmh/java/com/code_intelligence/jazzer/runtime:fuzzer_callbacks.hdrs,6,4,21,11,4,False
//agent/src/jmh/java/com/code_intelligence/jazzer/runtime:fuzzer_callbacks_benchmark,9,3,16,3,7,False
//agent/src/jmh/java/com/code_intelligence/jazzer/runtime:fuzzer_callbacks_remove_this_part_,10,3,16,12,4,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:fuzzer_callbacks,8,2,27,5,6,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:fuzzer_callbacks.dll,12,2,68,8,6,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:fuzzer_callbacks_cc_coverage_helper,4,4,11,11,0,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:fuzzer_callbacks_java_coverage_helper,3,2,3,6,0,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:fuzzer_callbacks_multi_,3,2,78,6,6,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:fuzzer_callbacks_single_,17,2,83,7,6,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:libfuzzer_callbacks.dylib,12,2,68,8,6,False
//agent/src/jmh/native/com/code_intelligence/jazzer/runtime:libfuzzer_callbacks.so,12,2,68,8,6,False
//agent/src/main/java/com/code_intelligence/jazzer/agent:agent_installer,9,5,186,187,56,False
//agent/src/main/java/com/code_intelligence/jazzer/agent:agent_lib,16,2,194,188,42,False
//agent/src/main/java/com/code_intelligence/jazzer/api:api,21,21,60,411,25,False
//agent/src/main/java/com/code_intelligence/jazzer/api:api_deploy_env,7,2,38,163,25,False
//agent/src/main/java/com/code_intelligence/jazzer/api:hooks,14,25,49,453,10,False
//agent/src/main/java/com/code_intelligence/jazzer/instrumentor:instrumentor,31,14,202,213,36,True
//agent/src/main/java/com/code_intelligence/jazzer/runtime:coverage_map,2,5,12,225,2,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:coverage_map.hdrs,6,2,20,196,2,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:coverage_map_remove_this_part_,8,3,15,235,2,True
//agent/src/main/java/com/code_intelligence/jazzer/runtime:fuzz_target_runner_natives,2,3,10,225,1,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:fuzz_target_runner_natives.hdrs,6,2,18,196,1,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:fuzz_target_runner_natives_remove_this_part_,7,3,13,235,1,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:jazzer_bootstrap,3,3,15,190,33,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:jazzer_bootstrap_compile_only,7,3,32,214,20,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:jazzer_bootstrap_env,8,2,48,163,11,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:jazzer_bootstrap_lib,7,3,47,194,31,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:jazzer_bootstrap_shading_test,16,1,31,1,34,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:jazzer_bootstrap_unshaded,7,2,33,193,31,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:jazzer_bootstrap_unstripped,4,2,17,191,32,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:runtime,16,5,34,224,20,True
//agent/src/main/java/com/code_intelligence/jazzer/runtime:trace_data_flow_native_callbacks,2,2,12,225,1,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:trace_data_flow_native_callbacks.hdrs,6,3,20,197,1,False
//agent/src/main/java/com/code_intelligence/jazzer/runtime:trace_data_flow_native_callbacks_remove_this_part_,8,3,15,236,1,False
//agent/src/main/java/com/code_intelligence/jazzer/utils:class_name_globber,11,3,26,214,2,False
//agent/src/main/java/com/code_intelligence/jazzer/utils:manifest_utils,10,4,43,190,1,False
//agent/src/main/java/com/code_intelligence/jazzer/utils:simple_glob_matcher,10,3,43,223,1,False
//agent/src/main/java/com/code_intelligence/jazzer/utils:unsafe_provider,6,8,39,260,1,False
//agent/src/main/java/com/code_intelligence/jazzer/utils:utils,10,4,43,222,1,False
//agent/src/main/java/jaz:jaz,3,2,3,454,2,False
//agent/src/test/java/com/code_intelligence/jazzer/api:AutofuzzTest,22,1,251,1,53,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:after_hooks_patch_test,17,1,223,1,57,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:after_hooks_patch_test_kt_,26,2,244,2,57,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:before_hooks_patch_test,17,1,223,1,57,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:before_hooks_patch_test_kt_,26,2,244,2,57,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:coverage_instrumentation_test,17,1,207,1,42,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:coverage_instrumentation_test_kt_,26,2,228,2,42,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:descriptor_utils_test,17,1,201,1,37,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:descriptor_utils_test_kt_,21,2,222,2,37,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:hook_validation_test,17,1,219,1,54,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:hook_validation_test_kt_,24,2,240,2,54,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:patch_test_utils,11,7,44,16,2,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:replace_hooks_patch_test,17,1,224,1,58,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:replace_hooks_patch_test_kt_,27,2,245,2,58,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:trace_data_flow_instrumentation_test,17,1,206,1,41,False
//agent/src/test/java/com/code_intelligence/jazzer/instrumentor:trace_data_flow_instrumentation_test_kt_,24,2,227,2,41,False
//agent/src/test/java/com/code_intelligence/jazzer/runtime:TraceCmpHooksTest,22,1,78,1,30,False
//bazel/coverage:coverage,4,1,11,1,1,False
//bazel/tools/java:JarStripper,7,4,13,191,1,False
//bazel/tools/java:fuzz_target_test_wrapper,7,59,37,59,1,False
//deploy:deploy,3,1,10,1,1,False
//deploy:jazzer,2,4,6,26,100,False
//deploy:jazzer-api,2,115,28,343,25,False
//deploy:jazzer-api-docs,3,3,31,3,25,False
//deploy:jazzer-api-lib,6,4,37,351,25,False
//deploy:jazzer-api-maven-artifact,2,2,28,2,25,False
//deploy:jazzer-api-maven-source,2,3,28,3,25,False
//deploy:jazzer-api-pom,3,3,33,3,26,False
//deploy:jazzer-api-project,4,5,40,349,25,False
//deploy:jazzer-api.bom-fragment,5,1,17,1,26,False
//deploy:jazzer-api.publish,6,1,52,1,26,False
//deploy:jazzer-api_artifact_test,16,1,34,1,26,False
//deploy:jazzer-docs,2,1,13,1,99,False
//deploy:jazzer-junit,2,3,7,16,108,False
//deploy:jazzer-junit-docs,4,3,10,3,108,False
//deploy:jazzer-junit-lib,8,4,13,24,108,False
//deploy:jazzer-junit-maven-artifact,2,2,7,2,108,False
//deploy:jazzer-junit-maven-source,2,3,7,3,108,False
//deploy:jazzer-junit-pom,3,3,12,3,109,False
//deploy:jazzer-junit-project,5,5,11,22,108,False
//deploy:jazzer-junit.bom-fragment,5,1,12,1,109,False
//deploy:jazzer-junit.publish,6,1,50,1,109,False
//deploy:jazzer-junit_artifact_test,16,1,26,1,109,False
//deploy:jazzer-lib,6,4,10,33,100,False
//deploy:jazzer-maven-artifact,2,2,6,2,100,False
//deploy:jazzer-maven-source,2,3,6,3,100,False
//deploy:jazzer-pom,3,3,8,3,101,False
//deploy:jazzer-project,4,4,7,31,100,False
//deploy:jazzer-sources,2,1,5,1,99,False
//deploy:jazzer.bom-fragment,4,1,7,1,101,False
//deploy:jazzer.publish,5,1,45,1,101,False
//deploy:jazzer_artifact_test,16,1,25,1,101,False
//driver/src/main/java/com/code_intelligence/jazzer:constants,6,3,39,193,0,False
//driver/src/main/java/com/code_intelligence/jazzer:constants_java,2,2,4,194,0,False
//driver/src/main/java/com/code_intelligence/jazzer:jazzer,3,2,8,159,100,False
//driver/src/main/java/com/code_intelligence/jazzer:jazzer-docs,3,2,15,2,99,False
//driver/src/main/java/com/code_intelligence/jazzer:jazzer-sources,3,2,7,2,99,False
//driver/src/main/java/com/code_intelligence/jazzer:jazzer_import,5,59,12,158,100,False
//driver/src/main/java/com/code_intelligence/jazzer:jazzer_lib,10,6,25,169,99,True
//driver/src/main/java/com/code_intelligence/jazzer:jazzer_shaded,4,2,10,160,100,False
//driver/src/main/java/com/code_intelligence/jazzer:jazzer_standalone,8,2,10,12,100,True
//driver/src/main/java/com/code_intelligence/jazzer:jazzer_transitive_sources,8,2,12,4,99,False
//driver/src/main/java/com/code_intelligence/jazzer:jazzer_unshaded,9,2,14,162,99,True
//driver/src/main/java/com/code_intelligence/jazzer/autofuzz:autofuzz,17,7,208,194,33,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:driver,8,2,35,170,97,True
//driver/src/main/java/com/code_intelligence/jazzer/driver:exception_utils,11,2,73,178,11,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:fuzz_target_finder,12,2,67,178,29,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:fuzz_target_runner,3,4,51,175,96,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:fuzz_target_runner.hdrs,6,1,44,1,87,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:fuzz_target_runner_remove_this_part_,21,3,71,177,87,True
//driver/src/main/java/com/code_intelligence/jazzer/driver:fuzzed_data_provider_impl,3,6,21,196,28,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:fuzzed_data_provider_impl.hdrs,6,2,46,205,27,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:fuzzed_data_provider_impl_remove_this_part_,9,3,43,206,27,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:opt,8,7,37,192,2,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:recording_fuzzed_data_provider,7,3,38,179,26,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:reproducer_template,8,2,16,178,4,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:signal_handler,3,2,21,178,2,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:signal_handler.hdrs,6,4,18,185,1,False
//driver/src/main/java/com/code_intelligence/jazzer/driver:signal_handler_remove_this_part_,7,3,13,186,1,False
//driver/src/main/java/com/code_intelligence/jazzer/junit:agent_configurator,10,3,24,41,2,False
//driver/src/main/java/com/code_intelligence/jazzer/junit:fuzz_test,3,5,55,38,93,False
//driver/src/main/java/com/code_intelligence/jazzer/junit:fuzz_test.hdrs,6,1,48,1,84,False
//driver/src/main/java/com/code_intelligence/jazzer/junit:fuzz_test_remove_this_part_,19,3,80,40,84,False
//driver/src/main/java/com/code_intelligence/jazzer/junit:jazzer_test_engine,19,3,51,27,104,False
//driver/src/main/java/com/code_intelligence/jazzer/junit:junit,7,2,27,25,104,False
//driver/src/main/java/com/code_intelligence/jazzer/junit:utils,6,4,39,42,1,False
//driver/src/main/java/com/code_intelligence/jazzer/replay:Replayer,7,2,7,4,29,False
//driver/src/main/java/com/code_intelligence/jazzer/replay:replay,2,2,7,5,29,False
//driver/src/main/java/com/code_intelligence/jazzer/replay:replay.hdrs,6,1,7,1,29,False
//driver/src/main/java/com/code_intelligence/jazzer/replay:replay_remove_this_part_,9,3,8,7,29,False
//driver/src/main/native/com/code_intelligence/jazzer:jazzer_preload,8,2,64,170,2,False
//driver/src/main/native/com/code_intelligence/jazzer:jazzer_preload.dll,14,2,16,173,2,False
//driver/src/main/native/com/code_intelligence/jazzer:jazzer_preload_cc_coverage_helper,4,4,11,176,0,False
//driver/src/main/native/com/code_intelligence/jazzer:jazzer_preload_java_coverage_helper,3,2,3,171,0,False
//driver/src/main/native/com/code_intelligence/jazzer:jazzer_preload_multi_,3,2,30,171,2,False
//driver/src/main/native/com/code_intelligence/jazzer:jazzer_preload_single_,17,2,29,172,2,False
//driver/src/main/native/com/code_intelligence/jazzer:libjazzer_preload.dylib,14,2,16,173,2,False
//driver/src/main/native/com/code_intelligence/jazzer:libjazzer_preload.so,14,2,16,173,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:coverage_tracker,7,2,15,195,4,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:fuzz_target_runner,9,2,15,195,4,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:fuzzed_data_provider,6,6,31,204,28,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:fuzzed_data_provider_test,25,1,0,1,0,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:init_jazzer_preload,8,4,13,194,1,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_driver,8,6,26,188,13,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_driver.dll,12,2,116,191,13,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_driver_cc_coverage_helper,4,4,11,194,0,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_driver_java_coverage_helper,3,2,3,189,0,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_driver_lib,8,4,84,194,12,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_driver_multi_,3,2,78,189,13,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_driver_single_,17,2,90,190,13,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_fuzzed_data_provider,8,2,24,197,28,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_fuzzed_data_provider.dll,9,2,14,200,28,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_fuzzed_data_provider_cc_coverage_helper,4,4,11,203,0,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_fuzzed_data_provider_java_coverage_helper,3,2,3,198,0,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_fuzzed_data_provider_multi_,3,2,25,198,28,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_fuzzed_data_provider_single_,17,2,27,199,28,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_fuzzer_callbacks,7,2,16,195,3,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_signal_handler,8,2,25,179,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_signal_handler.dll,10,2,14,182,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_signal_handler_cc_coverage_helper,4,4,11,185,0,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_signal_handler_java_coverage_helper,3,2,3,180,0,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_signal_handler_multi_,3,2,27,180,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:jazzer_signal_handler_single_,17,2,29,181,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:libfuzzer_callbacks,7,2,73,195,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:libjazzer_driver.dylib,12,2,116,191,13,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:libjazzer_driver.so,12,2,116,191,13,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:libjazzer_fuzzed_data_provider.dylib,9,2,14,200,28,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:libjazzer_fuzzed_data_provider.so,9,2,14,200,28,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:libjazzer_signal_handler.dylib,10,2,14,182,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:libjazzer_signal_handler.so,10,2,14,182,2,False
//driver/src/main/native/com/code_intelligence/jazzer/driver:sanitizer_hooks_with_pc,5,8,15,212,1,False
