project,stars,commits,build_tool
smartloli_EFAK,2705,788,maven
RMLio_rmlmapper-java,122,1135,maven
google_closure-templates,597,5154,maven
pranab_avenir,168,941,maven
amaembo_streamex,2024,1399,maven
cbeust_kobalt,425,3406,maven
lucidworks_banana,671,1442,maven
yangzongzhuan_RuoYi-Oracle,207,774,maven
Card-Forge_forge,184,62655,maven
openhab_org.openhab.binding.zwave,162,1106,maven
sarl_sarl,124,3079,maven
opensourceBIM_BIMserver,1325,4965,maven
sqlancer_sqlancer,1125,2026,maven
datacleaner_DataCleaner,518,6773,maven
belaban_JGroups,937,19762,maven
GoogleCloudPlatform_spring-cloud-gcp,280,2205,maven
goldmansachs_jdmn,114,1897,maven
tada_pljava,209,1924,maven
dromara_hertzbeat,2501,734,maven
Asqatasun_Asqatasun,228,5971,maven
apache_shiro,4037,2548,maven
apache_incubator-baremaps,208,1306,maven
apache_ratis,949,1471,maven
alibaba_arthas,31739,1851,maven
payara_Payara,850,19367,maven
AddstarMC_Prism-Bukkit,120,2069,maven
fengjiachun_Jupiter,1451,1744,maven
deeplearning4j_deeplearning4j,12776,2647,maven
rohanpadhye_JQF,518,812,maven
kiegroup_droolsjbpm-knowledge,112,2460,maven
citiususc_hipster,321,763,maven
revelc_formatter-maven-plugin,240,1319,maven
AtomGraph_Web-Client,119,1867,maven
titinko_utsu,166,742,maven
aws_aws-sdk-java,3893,3703,maven
artclarke_humble-video,529,877,maven
apache_systemds,942,8120,maven
knowm_XChange,3625,12614,maven
apache_servicecomb-pack,1917,1675,maven
SciGraph_SciGraph,201,1126,maven
armenak_DataDefender,123,778,maven
thingsboard_thingsboard,13114,12204,maven
nroduit_Weasis,520,2758,maven
eclipse_hawkbit,365,2509,maven
frandallfarmer_neohabitat,194,1058,maven
graphhopper_graphhopper,4022,6246,maven
jenkinsci_github-plugin,281,797,maven
kiegroup_droolsjbpm-build-bootstrap,210,3437,maven
okta_okta-sdk-java,120,807,maven
knowm_XChart,1340,1565,maven
internetarchive_heritrix3,2405,2457,maven
ippontech_tatami,334,3942,maven
spring-cloud_spring-cloud-release,756,756,maven
ExpediaGroup_adaptive-alerting,187,1732,maven
Kurento_kurento-java,189,2899,maven
cbeust_testng-eclipse,184,1104,maven
pac4j_pac4j,2219,4274,maven
megagao_production_ssm,1024,1092,maven
apache_flink-statefun,427,818,maven
lmdbjava_lmdbjava,694,800,maven
threerings_getdown,484,980,maven
jsr107_jsr107spec,397,769,maven
bareboat-necessities_my-bareboat,151,2450,maven
LibrePDF_OpenPDF,2600,1296,maven
RumbleDB_rumble,186,6091,maven
openjdk_jmh,1360,1640,maven
oehf_ipf,141,3384,maven
AxonIQ_axon-server-se,107,1529,maven
eclipse-ee4j_eclipselink,154,10721,maven
ogri-la_strongbox,137,2166,maven
games647_FastLogin,383,921,maven
gravitee-io_gravitee-api-management,1576,16873,maven
apache_xmlgraphics-batik,164,3558,maven
ShaftHQ_SHAFT_ENGINE,175,1266,maven
apache_tika,1618,6924,maven
spring-projects_spring-data-elasticsearch,2746,1731,maven
jitsi_libjitsi,601,2480,maven
jruby_jruby,3673,52071,maven
wso2_msf4j,361,2475,maven
OpenOLAT_OpenOLAT,224,20017,maven
mikera_core.matrix,679,2697,maven
FraunhoferIOSB_FROST-Server,143,1653,maven
dkpro_dkpro-core,196,5237,maven
la-team_light-admin,656,826,maven
apache_dubbo-samples,1871,1294,maven
yammer_tenacity,204,839,maven
jenkinsci_tfs-plugin,146,1330,maven
MyRobotLab_myrobotlab,199,13597,maven
apache_gora,105,1395,maven
automvc_bee,574,1408,maven
querqy_querqy,161,1288,maven
Ogefest_Notepack,115,1316,maven
bonigarcia_selenium-jupiter,219,1782,maven
weizhiqiang1995_skyeye,688,1500,maven
jenkinsci_jenkinsfile-runner,1002,906,maven
wildfly_wildfly-core,167,17375,maven
eclipse_birt,336,32600,maven
basho_riak-java-client,264,2109,maven
geosolutions-it_MapStore2,395,4385,maven
PlaytikaOSS_testcontainers-spring-boot,731,986,maven
HdrHistogram_HdrHistogram,2050,757,maven
QSFT_Doradus,202,840,maven
SonarOpenCommunity_sonar-cxx,865,3360,maven
awhitford_lombok.maven,104,812,maven
WeBankFinTech_Exchangis,381,1250,maven
mirkosertic_MogwaiERDesignerNG,137,1559,maven
javamelody_javamelody,2775,3655,maven
lumifyio_lumify,414,6212,maven
ron190_jsql-injection,1201,734,maven
ssssssss-team_magic-api,892,1364,maven
Intel-bigdata_HiBench,1342,1532,maven
seansegal_tincisnotcatan,130,864,maven
talsma-ict_umldoclet,193,1164,maven
jenkinsci_dependency-check-plugin,116,969,maven
apache_camel-spring-boot,119,43014,maven
popeen_Booksonic-Air,156,1685,maven
swagger-api_swagger-core,7134,4127,maven
apache_commons-text,274,1817,maven
suninformation_ymate-platform-v2,118,1258,maven
uniVocity_univocity-parsers,877,876,maven
openzipkin_brave,2247,1872,maven
goldmansachs_gs-collections,1807,912,maven
apache_directory-server,116,9926,maven
SonarSource_sonar-java,989,8477,maven
dddplus_dddplus,229,836,maven
terrier-org_terrier-core,211,1563,maven
apache_deltaspike,142,2513,maven
ConSol_sakuli,116,2027,maven
Frameworkium_frameworkium-core,145,1016,maven
Nodeclipse_nodeclipse,158,882,maven
braisdom_ObjectiveSql,1206,1178,maven
ngageoint_hootenanny,308,9828,maven
ehrbase_ehrbase,143,3271,maven
ysc_superword,258,951,maven
hartwigmedical_hmftools,129,20173,maven
cai3178940_youran,117,1008,maven
jfrog_artifactory-user-plugins,350,1389,maven
speedment_jpa-streamer,233,834,maven
jboss-fuse_fuse,134,7638,maven
senbox-org_snap-desktop,112,3376,maven
finos_waltz,140,10536,maven
google_error-prone,6338,5907,maven
flink-extended_dl-on-flink,649,874,maven
uwolfer_gerrit-rest-java-client,159,734,maven
bixo_bixo,138,1133,maven
teiid_teiid,288,8360,maven
steve-community_steve,444,1849,maven
IQSS_dataverse,749,24896,maven
alibaba_spring-cloud-alibaba,24787,2408,maven
apache_incubator-datalab,132,13258,maven
jashkenas_ruby-processing,1276,1234,maven
OneBusAway_onebusaway-gtfs-modules,107,1326,maven
yellowstonegames_SquidLib,429,2933,maven
apilayer_restcountries,2120,844,maven
alexo_wro4j,440,3619,maven
jenkins-infra_pipeline-library,250,1024,maven
SAP_cloud-security-xsuaa-integration,123,2195,maven
lukas-krecan_ShedLock,2830,2528,maven
dlsc-software-consulting-gmbh_PreferencesFX,551,1380,maven
elastic_apm-agent-java,522,2441,maven
Pi4J_pi4j-v1,1318,1241,maven
marschall_memoryfilesystem,256,733,maven
rnewson_couchdb-lucene,769,1127,maven
openl-tablets_openl-tablets,114,22771,maven
java110_MicroCommunity,739,7649,maven
kiegroup_appformer,172,3748,maven
flowable_flowable-engine,6123,13075,maven
Erudika_para,467,1784,maven
HotswapProjects_HotswapAgent,1953,868,maven
MarginallyClever_Robot-Overlord-App,109,2559,maven
omcljs_om,6662,1966,maven
jenkinsci_jira-plugin,165,1436,maven
ArcadeData_arcadedb,276,1572,maven
YunaiV_ruoyi-vue-pro,9197,3894,maven
SpoutDev_Vanilla,114,3498,maven
googleapis_google-cloud-java,1699,62245,maven
davidmoten_rxjava2-jdbc,384,1166,maven
undera_jmeter-plugins,511,3370,maven
spring-cloud_spring-cloud-commons,641,1801,maven
spullara_mustache.java,1775,1259,maven
argouml-tigris-org_argouml,203,17843,maven
jsonld-java_jsonld-java,364,922,maven
xiweicheng_tms,311,1048,maven
RockinChaos_ItemJoin,107,1463,maven
apache_httpcomponents-core,306,3726,maven
RyanSusana_elepy,129,1737,maven
camelinaction_camelinaction2,569,1691,maven
SoftInstigate_restheart,748,4047,maven
yegor256_s3auth,256,1040,maven
apache_stanbol,113,3404,maven
mpusher_mpush,3606,1562,maven
soot-oss_soot,2502,7110,maven
apache_logging-log4net,711,1203,maven
OpenHFT_Chronicle-Bytes,335,3625,maven
tigase_tigase-server,266,6280,maven
reactiverse_es4x,850,1539,maven
yuzutech_kroki,1939,1716,maven
RetGal_Dayon,109,872,maven
opensourceBIM_bimvie.ws,160,1350,maven
HarvardPL_formulog,122,743,maven
Multibit-Legacy_multibit,431,1688,maven
swagger-api_swagger-parser,651,2644,maven
jenkinsci_kubernetes-plugin,2159,3889,maven
exomiser_Exomiser,127,3108,maven
GluuFederation_oxAuth,391,5484,maven
GraphWalker_graphwalker-project,283,1950,maven
apache_struts-examples,405,1307,maven
lbalazscs_Pixelitor,130,1109,maven
siddhi-io_siddhi,1414,6092,maven
troyzhxu_bean-searcher,825,1307,maven
apache_activemq,2128,11345,maven
weld_core,348,8104,maven
SmartDataAnalytics_Sparqlify,114,796,maven
Sloeber_arduino-eclipse-plugin,395,2598,maven
platonai_pulsarR,183,1689,maven
opentelecoms-org_jsmpp,197,816,maven
cmu-db_benchbase,229,2093,maven
casteng_i-pascal,103,1227,maven
clojure_core.match,1120,939,maven
jtalks-org_jcommune,108,6789,maven
OWASP_SecurityShepherd,1118,930,maven
JodaOrg_joda-beans,138,859,maven
radanalyticsio_spark-operator,144,783,maven
iipc_openwayback,439,3401,maven
jcodec_jcodec,1111,935,maven
mikera_vectorz-clj,198,1018,maven
apache_plc4x,762,6690,maven
dromara_hutool,25421,4407,maven
demoiselle_signer,118,763,maven
spring-cloud_spring-cloud-skipper,109,937,maven
caprica_vlcj,967,2879,maven
pivovarit_parallel-collectors,459,735,maven
wso2_product-microgateway,232,3905,maven
spring-projects_spring-data-redis,1549,2703,maven
maxmind_GeoIP2-java,678,1036,maven
Azure_azure-sdk-for-java,1793,26202,maven
jfree_jfreechart,976,4220,maven
manifold-systems_manifold,1588,2118,maven
hector-client_hector,645,2161,maven
aicis_fresco,114,3217,maven
OpenNMS_opennms,762,55451,maven
peter-lawrey_HugeCollections-OLD,270,766,maven
HubSpot_jinjava,577,3077,maven
openpreserve_jhove,142,1853,maven
codice_ddf,126,11090,maven
CertifaiAI_classifai,105,1044,maven
apache_commons-bcel,206,2400,maven
PhoenicisOrg_phoenicis,619,2889,maven
unitsofmeasurement_unit-api,163,933,maven
rhuss_jolokia,756,1812,maven
skjolber_3d-bin-container-packing,288,829,maven
apache_servicecomb-java-chassis,1834,3663,maven
jmeter-maven-plugin_jmeter-maven-plugin,408,1033,maven
apache_wicket,667,21311,maven
OpticFusion1_MCAntiMalware,220,865,maven
junkdog_artemis-odb,731,1791,maven
wso2_micro-integrator,134,4743,maven
nativelibs4java_nativelibs4java,287,3256,maven
aadnk_ProtocolLib,268,1539,maven
groupon_DotCi,502,1699,maven
CloudburstMC_Nukkit,1050,3971,maven
opencypher_openCypher,727,2336,maven
thymeleaf_thymeleaf,2491,5359,maven
pnoker_iot-dc3,270,931,maven
EnMasseProject_enmasse,189,7568,maven
speedment_speedment,2041,4760,maven
spring-cloud_spring-cloud-openfeign,955,2943,maven
andrei1058_BedWars1058,193,1541,maven
docker-java_docker-java,2488,2103,maven
JPressProjects_jpress,2553,5627,maven
OSBI_saiku-ui,144,2709,maven
OpenPojo_openpojo,148,1104,maven
pentaho_pentaho-platform,443,8727,maven
automvc_honey,123,1071,maven
nutzam_nutzmore,340,1322,maven
fabric8io_kubernetes-client,2858,5474,maven
lets-blade_blade,5743,876,maven
aptana_studio3,1026,16348,maven
apache_xmlgraphics-fop,149,8474,maven
neo4j_docker-neo4j,282,911,maven
confluentinc_kafka-connect-jdbc,891,3584,maven
spring-projects_spring-data-commons,684,2713,maven
viritin_viritin,150,996,maven
jtulach_bck2brwsr,110,2244,maven
ixrjog_opscloud4,1152,1542,maven
kairosdb_kairosdb,1686,1427,maven
jpaulm_javafbp,156,797,maven
fcrepo_fcrepo,167,3507,maven
eclipse_microprofile-open-api,108,834,maven
ofdrw_ofdrw,816,949,maven
openlookeng_hetu-core,536,2722,maven
OCR4all_OCR4all,175,1105,maven
doanduyhai_Achilles,240,1317,maven
zsmartsystems_com.zsmartsystems.zigbee,122,1159,maven
junit-team_junit4,8409,2506,maven
wilkerlucio_pathom3,306,1258,maven
eclipse_jkube,472,1396,maven
bitwig_bitwig-extensions,122,926,maven
googleapis_google-http-java-client,1313,1332,maven
forge_roaster,610,932,maven
intuit_wasabi,1096,1084,maven
eclipse_org.aspectj,170,8666,maven
siom79_japicmp,619,961,maven
