project,stars,commits,build_tool
yermak_AudioBookConverter,376,976,maven
linux-china_dubbo3,257,2157,maven
rxtx_rxtx,278,934,maven
pgjdbc_r2dbc-postgresql,907,756,maven
spring-projects_spring-data-couchbase,219,1132,maven
geotools_geotools,1410,9472,maven
OpenAS2_OpenAs2App,141,630,maven
clearflask_clearflask,126,1569,maven
knowm_XChange,3625,12614,maven
davidB_scala-maven-plugin,528,1036,maven
AppiumTestDistribution_AppiumTestDistribution,887,855,maven
jenkinsci_ec2-plugin,277,1566,maven
AKSW_RDFUnit,141,2056,maven
camunda_zeebe,2657,18305,maven
spring-cloud_spring-cloud-netflix,4694,3034,maven
camunda_camunda-bpm-spring-boot-starter,311,641,maven
palatable_lambda,831,702,maven
smallrye_smallrye-mutiny,627,2252,maven
apache_commons-codec,385,2339,maven
4pr0n_ripme,900,587,maven
ferstl_depgraph-maven-plugin,449,1065,maven
oehf_ipf,141,3384,maven
apache_sedona,1359,1142,maven
running-elephant_moonbox,488,1131,maven
javaswift_joss,115,620,maven
strongbox_strongbox,514,5742,maven
AtomGraph_Web-Client,119,1867,maven
OpenHFT_OpenHFT,554,15683,maven
dice-group_gerbil,206,855,maven
spotify-web-api-java_spotify-web-api-java,810,1270,maven
jpush_jpush-api-java-client,706,733,maven
cometd_cometd,550,4876,maven
willowtreeapps_OAK,110,573,maven
Nukkit_Nukkit,804,2507,maven
openhab_openhab-distro,1217,857,maven
openpnp_openpnp,1325,4281,maven
idempiere_idempiere,258,14783,maven
google_gson,21849,1787,maven
google_mug,303,4298,maven
oshi_oshi,3590,2637,maven
swagger-api_swagger-inflector,150,894,maven
apache_hbase,4777,19596,maven
yangzongzhuan_RuoYi-Vue,1488,1153,maven
hygieia_hygieia,3744,2596,maven
IanDarwin_javasrc,221,4877,maven
DreamVoid_MiraiMC,138,574,maven
JCTools_JCTools,3166,1034,maven
martinpaljak_GlobalPlatformPro,522,728,maven
cucumber_cucumber-eclipse,181,606,maven
dotCMS_core,703,23551,maven
jeremylong_DependencyCheck,4852,9472,maven
davidmoten_rxjava2-jdbc,384,1166,maven
eirslett_frontend-maven-plugin,3959,773,maven
spring-projects_spring-data-redis,1549,2703,maven
mpetazzoni_ttorrent,1317,944,maven
authorjapps_zerocode,706,1418,maven
cloudsmith_geppetto,179,1466,maven
atomashpolskiy_bt,2120,1027,maven
apache_commons-math,485,7123,maven
confluence-publisher_confluence-publisher,168,681,maven
apache_activemq,2128,11345,maven
cglib_cglib,4563,863,maven
galenframework_galen,1409,1555,maven
payara_Payara,850,19367,maven
jchambers_pushy,1594,1572,maven
eclipse-vertx_vert.x,13401,5476,maven
ForgeRock_openam-community-edition,114,4121,maven
languagetool-org_languagetool,8222,64879,maven
verdict-project_verdict,236,2555,maven
consolibyte_quickbooks-php,443,647,maven
terasolunaorg_terasoluna-gfw,101,912,maven
zinggAI_zingg,697,976,maven
flapdoodle-oss_de.flapdoodle.embed.process,218,671,maven
jenkinsci_docker-workflow-plugin,478,563,maven
uniVocity_univocity-trader,552,565,maven
ControlSystemStudio_cs-studio,101,27322,maven
atlassian_data-center-helm-charts,110,821,maven
CertifaiAI_classifai,105,1044,maven
astamuse_asta4d,164,852,maven
igniterealtime_Openfire,2597,10584,maven
hs-web_hsweb-easy-orm,233,670,maven
antlr_grammars-v4,8505,7071,maven
couchbase_couchbase-java-client,255,1062,maven
criteo_biggraphite,125,1037,maven
farin_JCloisterZone,288,1511,maven
networknt_light-oauth2,295,760,maven
bytedeco_javacpp-presets,2296,1572,maven
codenvy_codenvy,300,11031,maven
l0rdn1kk0n_wicket-bootstrap,287,2302,maven
cognitect-labs_aws-api,681,650,maven
mjanicek_rembulan,154,1741,maven
davidmoten_xsd-forms,128,682,maven
SANSA-Stack_SANSA-Stack,135,5135,maven
rubyangxg_jd-qinglong,180,647,maven
dspinellis_UMLGraph,329,646,maven
benmfaul_XRTB,119,1266,maven
stsiushkevich_learn-reactjs,102,545,maven
zkoss_zkspreadsheet,102,4001,maven
radsz_jacop,202,1302,maven
terrier-org_terrier-core,211,1563,maven
revelc_formatter-maven-plugin,240,1319,maven
graphhopper_graphhopper,4022,6246,maven
geosolutions-it_MapStore2,395,4385,maven
fengjiachun_Jupiter,1451,1744,maven
webanno_webanno,232,6137,maven
vert-x3_vertx-rx,143,815,maven
jenkinsci_git-client-plugin,131,3346,maven
jolie_jolie,446,4390,maven
apache_logging-log4j1,875,3237,maven
biojava_biojava,520,6707,maven
rrd4j_rrd4j,244,730,maven
techa03_goodsKill,1440,798,maven
RWS_odata,126,921,maven
RIPE-NCC_whois,356,4727,maven
bytedeco_javacpp,4032,901,maven
shrinkwrap_shrinkwrap,121,829,maven
spring-cloud-samples_spring-cloud-contract-samples,357,866,maven
netty_netty-tcnative,221,691,maven
miltonio_milton2,150,912,maven
labsai_EDDI,215,1511,maven
jmeter-maven-plugin_jmeter-maven-plugin,408,1033,maven
wso2_product-microgateway,232,3905,maven
apache_deltaspike,142,2513,maven
wso2_product-iots,137,2451,maven
Archy-X_AureliumSkills,157,1119,maven
locationtech_geomesa,1281,2365,maven
Norconex_collector-http,152,989,maven
jboss-fuse_fuse,134,7638,maven
dropwizard_metrics,7678,3406,maven
qalingo_qalingo-engine,304,1866,maven
cpesch_RouteConverter,124,5505,maven
YuKongEr_panda-cloud,111,678,maven
jberet_jsr352,110,1293,maven
apache_tomcat-maven-plugin,154,624,maven
bit4woo_domain_hunter_pro,1353,800,maven
openscoring_openscoring,567,603,maven
seata_seata,23341,1632,maven
OpenPojo_openpojo,148,1104,maven
yegor256_qulice,287,1817,maven
AtomGraph_LinkedDataHub,391,5720,maven
jcabi_jcabi-github,281,2775,maven
platonai_pulsarR,183,1689,maven
edp963_wormhole,969,6922,maven
USPTO_PatentPublicData,147,627,maven
searchbox-io_Jest,2120,1153,maven
FasterXML_jackson-jr,213,848,maven
apache_bigtop,465,2941,maven
silentbalanceyh_vertx-zero,149,1561,maven
ShaftHQ_SHAFT_ENGINE,175,1266,maven
amaembo_streamex,2024,1399,maven
OSBI_saiku,1270,5762,maven
hub4j_github-api,977,3723,maven
scalecube_scalecube-cluster,210,989,maven
ixrjog_opscloud4,1152,1542,maven
apache_dubbo-admin,3731,628,maven
horrorho_InflatableDonkey,247,683,maven
resty-gwt_resty-gwt,291,908,maven
jfaster_mango,914,779,maven
clojure_java.jdbc,697,784,maven
kiegroup_droolsjbpm-knowledge,112,2460,maven
itext_i7j-pdfhtml,175,1634,maven
caelum_mamute,343,3661,maven
apache_atlas,1471,3747,maven
servicex-sh_httpx,110,912,maven
hbci4j_hbci4java,119,992,maven
apache_servicecomb-java-chassis,1834,3663,maven
Kurento_kurento-java,189,2899,maven
bernardosulzbach_dungeon,127,1133,maven
apache_guacamole-client,1087,6315,maven
misstt123_oasys,202,562,maven
resthub_resthub-spring-stack,122,1564,maven
googleapis_google-api-java-client,1199,1487,maven
wttech_aet,124,2552,maven
niumoo_bing-wallpaper,1122,811,maven
apache_dubbo,38421,6338,maven
goldmansachs_gs-collections,1807,912,maven
apache_commons-jexl,142,2354,maven
flowerfine_scaleph,175,620,maven
TencentCloud_tencentcloud-sdk-java,446,944,maven
jhipster_jhipster-lite,273,9866,maven
joa_apparat,212,978,maven
skyvers_skyve,411,4234,maven
HubSpot_jinjava,577,3077,maven
t-oster_VisiCut,205,1861,maven
microsoft_playwright-java,677,660,maven
Universite-Gustave-Eiffel_NoiseModelling,113,2401,maven
microsoft_spring-cloud-azure,215,1828,maven
ngageoint_mrgeo,199,2636,maven
myrrix_myrrix-recommender,106,618,maven
lets-blade_blade,5743,876,maven
apache_tiles,101,1465,maven
apache_incubator-seatunnel,4639,2880,maven
megaease_easeagent,507,732,maven
mybatis_mybatis-3,18198,4526,maven
jacoco_jacoco,3529,1769,maven
OreosLab_bili,138,573,maven
mybatis_spring,2583,1991,maven
brianfrankcooper_YCSB,4405,1299,maven
checkstyle_checkstyle,7534,12121,maven
Waikato_moa,530,1278,maven
oldmanpushcart_greys-anatomy,3920,653,maven
damianszczepanik_cucumber-reporting,510,1287,maven
SonarSource_sonar-scanner-msbuild,315,1417,maven
razerdp_BasePopup,4892,1697,maven
orphan-oss_ognl,182,693,maven
everit-org_json-schema,803,1057,maven
yzyray_lizzieyzy,205,824,maven
frandallfarmer_neohabitat,194,1058,maven
qunarcorp_qmq,2646,666,maven
structr_structr,708,14575,maven
haraldk_TwelveMonkeys,1576,1545,maven
pcingola_SnpEff,178,2556,maven
Tillerino_Tillerinobot,313,691,maven
Simmetrics_simmetrics,306,671,maven
brettwooldridge_HikariCP,17843,2835,maven
nativelibs4java_nativelibs4java,287,3256,maven
gchq_Gaffer,1693,6959,maven
awslabs_aws-serverless-java-container,1311,744,maven
Angel-ML_angel,6647,2963,maven
OpenRefine_OpenRefine,9269,7412,maven
archimatetool_archi,721,2653,maven
simlu_voxelshop,337,673,maven
jan-molak_jenkins-build-monitor-plugin,719,629,maven
magefree_mage,1508,39610,maven
anyascii_anyascii,143,824,maven
BentoBoxWorld_BentoBox,265,3543,maven
apache_karaf,613,9314,maven
OpenHFT_Chronicle-Bytes,335,3625,maven
eclipse-tycho_tycho,136,3270,maven
apereo_java-cas-client,841,1370,maven
cmu-phil_tetrad,332,4990,maven
mojohaus_mojo-parent,121,630,maven
rabbitmq_rabbitmq-perf-test,299,1342,maven
opencypher_openCypher,727,2336,maven
apache_datasketches-java,805,2729,maven
spdx_tools,104,1015,maven
cheng-li_pyramid,182,2555,maven
watson-developer-cloud_java-sdk,582,4127,maven
SmartDataAnalytics_DL-Learner,145,6064,maven
SeleniumHQ_htmlunit-driver,213,682,maven
unipop-graph_unipop,197,827,maven
steve-community_steve,444,1849,maven
imagej_ImageJ,271,2532,maven
imagej_tutorials,152,617,maven
hs-web_hsweb-framework,7997,2789,maven
iluwatar_java-design-patterns,79897,3437,maven
Nepxion_Discovery,5131,4560,maven
clojure_core.match,1120,939,maven
mguessan_davmail,433,3327,maven
chocoteam_choco-solver,614,6129,maven
karatelabs_karate,6812,4064,maven
aliyun_aliyun-emapreduce-datasources,160,590,maven
confluentinc_ksql,5405,14238,maven
jenkinsci_jira-plugin,165,1436,maven
mongock_mongock,384,686,maven
ajanata_PretendYoureXyzzy,1167,574,maven
Flameish_Novel-Grabber,351,785,maven
hapifhir_hapi-fhir,1631,9324,maven
Card-Forge_forge,184,62655,maven
undera_jmeter-plugins,511,3370,maven
theonedev_onedev,10824,5283,maven
SonarSource_SonarJS,895,3763,maven
HubSpot_slack-client,107,763,maven
jline_jline2,709,738,maven
yegor256_cactoos,694,2834,maven
mcMMO-Dev_mcMMO,887,6575,maven
OHDSI_WhiteRabbit,127,705,maven
orphan-oss_launch4j-maven-plugin,305,565,maven
ysc_superword,258,951,maven
dCache_dcache,247,12517,maven
undertow-io_undertow,3299,5529,maven
yahoo_maha,119,3240,maven
lemire_javaewah,520,707,maven
networknt_json-schema-validator,569,723,maven
dianping_pigeon,867,1854,maven
OfficialDonut_VisualBukkit,232,609,maven
OCR4all_LAREX,163,1111,maven
CeON_CERMINE,424,1240,maven
kaitoy_pcap4j,1038,866,maven
eclipse_dirigible,186,6510,maven
HeidelTime_heideltime,317,759,maven
locationtech_geogig,387,1615,maven
yamcs_yamcs,113,6125,maven
graphhopper_jsprit,1453,2150,maven
jMetal_jMetal,436,4418,maven
clojure_tools.deps.alpha,429,1259,maven
esig_dss,616,5432,maven
STAMP-project_dspot,100,749,maven
GraphWalker_graphwalker-project,283,1950,maven
HtmlUnit_htmlunit,646,18470,maven
ta4j_ta4j,1699,1199,maven
walmartlabs_concord,169,4519,maven
confluentinc_schema-registry,1906,8117,maven
openhab_openhab-webui,176,798,maven
SonarSource_sonar-scanner-jenkins,176,897,maven
titinko_utsu,166,742,maven
clojure_tools.analyzer,249,545,maven
SPLWare_esProc,1161,1015,maven
sarxos_webcam-capture,2098,705,maven
thingsboard_thingsboard,13114,12204,maven
G-Research_siembol,169,732,maven
adorsys_keycloak-config-cli,472,1667,maven
eclipse_vorto,212,3028,maven
raydac_java-binary-block-parser,212,637,maven
fluxtream_fluxtream-app,144,4295,maven
got5_tapestry5-jquery,112,1676,maven
perwendel_spark,9460,1067,maven
mycontroller-org_mycontroller-v1-legacy,146,1109,maven
Atmosphere_atmosphere-javascript,119,660,maven
KylinOLAP_Kylin,561,1977,maven
baolibin_Bigdata,109,815,maven
xerial_sqlite-jdbc,2325,1410,maven
NLPchina_elasticsearch-sql,6817,1000,maven
yago-naga_yago3,689,1356,maven
assertj_assertj-db,104,919,maven
PetteriM1_NukkitPetteriM1Edition,152,3968,maven
aicis_fresco,114,3217,maven
ShprAlex_SproutLife,571,726,maven
akkinoc_logback-access-spring-boot-starter,152,724,maven
vorburger_MariaDB4j,727,709,maven
yahoo_TensorFlowOnSpark,3843,631,maven
bwssytems_ha-bridge,1425,659,maven
wilkerlucio_pathom,587,1997,maven
Azure_azure-iot-sdk-java,184,1765,maven
clojure_core.typed,1264,4683,maven
ExpediaGroup_adaptive-alerting,187,1732,maven
codecentric_chaos-monkey-spring-boot,829,659,maven
SpoutDev_Spout,363,5912,maven
HubSpot_Baragon,104,1892,maven
bytedeco_javacv,6451,558,maven
HXSecurity_DongTai-agent-java,605,1306,maven
peholmst_vaadin4spring,265,739,maven
netfishers-onl_Netshot,187,650,maven
sokomishalov_skraper,171,565,maven
maven-nar_nar-maven-plugin,226,1277,maven
netty_netty-incubator-codec-quic,231,563,maven
apache_dolphinscheduler,9830,7660,maven
errai_errai,274,7790,maven
SerNet_verinice,143,9585,maven
viritin_viritin,150,996,maven
pagehelper_Mybatis-PageHelper,11543,620,maven
MobiVM_robovm,811,1176,maven
Progether_JAdventure,294,767,maven
OpenBankProject_OBP-API,1420,11561,maven
senseidb_bobo,184,747,maven
pgcodekeeper_pgcodekeeper,105,7794,maven
andrei1058_BedWars1058,193,1541,maven
spring-petclinic_spring-petclinic-microservices,1307,714,maven
google_libphonenumber,14671,2056,maven
dromara_mendmix,651,579,maven
YunaiV_yudao-cloud,7329,1208,maven
dayatang_dddlib,596,2370,maven
OpenHFT_Chronicle-Threads,129,1583,maven
tigase_siskin-im,149,699,maven
graphstream_gs-core,382,923,maven
ballcat-projects_ballcat,971,1380,maven
httl_httl,348,677,maven
springdoc_springdoc-openapi-demos,355,710,maven
castlemock_castlemock,263,1183,maven
vert-x3_vertx-stack,119,566,maven
support-project_knowledge,689,1368,maven
apache_commons-csv,316,2042,maven
OpenLiberty_ci.maven,115,2332,maven
antlr_antlr3,228,594,maven
wso2_product-ei,313,3386,maven
git-commit-id_git-commit-id-maven-plugin,1446,1209,maven
apache_struts,1190,6514,maven
dCache_nfs4j,193,1268,maven
jfrog_artifactory-user-plugins,350,1389,maven
ClouGence_hasor,939,3796,maven
jeecgboot_jeecg-boot,33508,842,maven
tlaplus_tlaplus,1967,8130,maven
spring-cloud_spring-cloud-release,756,756,maven
fit2cloud_rackshift,487,977,maven
mojohaus_versions,282,1120,maven
ICIJ_extract,218,742,maven
NetEase_arctic,388,547,maven
OpenHFT_Chronicle-Map,2550,3298,maven
AxonIQ_axon-server-se,107,1529,maven
EnMasseProject_enmasse,189,7568,maven
hazelcast_hazelcast-jet,1039,2681,maven
javaparser_javaparser,4563,8599,maven
metosin_malli,1190,2076,maven
fizzgate_fizz-gateway-community,846,1228,maven
pentaho_big-data-plugin,203,3745,maven
