project,tool,use_bazel,use_test
StackStorm_st2,github-actions,False,False
StackStorm_st2,circleci,False,False
nlohmann_json,github-actions,False,False
KhronosGroup_SPIRV-Headers,github-actions,False,False
bentoml_BentoML,github-actions,False,False
martian-lang_martian,buildkite,False,False
martian-lang_martian,github-actions,True,True
protocolbuffers_protobuf,github-actions,True,False
twitter_scrooge,github-actions,False,False
eclipse-iceoryx_iceoryx,github-actions,True,False
oppia_oppia-android,github-actions,True,True
google_go-jsonnet,buildkite,False,False
google_go-jsonnet,github-actions,True,True
alibaba_DeepRec,github-actions,False,False
cython_cython,github-actions,False,False
google_highway,github-actions,True,False
google_guice,github-actions,True,True
kubevirt_containerized-data-importer,github-actions,False,False
scionproto_scion,buildkite,True,True
scionproto_scion,github-actions,False,False
angular_vscode-ng-language-service,github-actions,False,False
angular_vscode-ng-language-service,circleci,False,False
buildbuddy-io_rules_xcodeproj,github-actions,False,False
bazelbuild_bazel-buildfarm,buildkite,True,True
bazelbuild_bazel-buildfarm,github-actions,False,False
bazelbuild_bazel-skylib,buildkite,True,True
lablup_backend.ai,github-actions,False,False
angular_components,github-actions,True,False
angular_components,circleci,True,True
kubernetes-sigs_kubebuilder,github-actions,False,False
bazelbuild_rules_swift,buildkite,True,True
buildbuddy-io_buildbuddy,github-actions,True,True
GoogleCloudPlatform_docker-credential-gcr,github-actions,False,False
github_semantic,github-actions,False,False
larq_compute-engine,github-actions,True,True
google_brotli,github-actions,True,True
grapl-security_grapl,buildkite,False,False
airyhq_airy,github-actions,True,True
bazelbuild_rules_pkg,buildkite,True,True
google_glog,buildkite,True,True
google_glog,github-actions,False,False
bazelbuild_rules_nodejs,buildkite,True,True
bazelbuild_rules_nodejs,github-actions,True,False
formatjs_formatjs,github-actions,False,False
google_googletest,github-actions,True,True
squzy_squzy,github-actions,True,True
google_gvisor,buildkite,True,True
google_gvisor,github-actions,False,False
thundergolfer_example-bazel-monorepo,buildkite,True,True
google_brunsli,github-actions,True,True
dropbox_dbx_build_tools,buildkite,True,True
dropbox_dbx_build_tools,github-actions,False,False
twitter_finagle,github-actions,False,False
go-resty_resty,buildkite,False,False
go-resty_resty,github-actions,False,False
eudev-project_eudev,github-actions,False,False
google_schedviz,github-actions,True,True
KhronosGroup_glslang,github-actions,False,False
tensorflow_tensorboard,github-actions,True,True
vaticle_biograkn,circleci,True,True
tweag_clodl,buildkite,True,True
tweag_clodl,circleci,True,True
bazelbuild_buildtools,buildkite,True,True
bazelbuild_rules_docker,buildkite,True,True
bazelbuild_rules_docker,github-actions,True,False
bazelbuild_rules_rust,buildkite,True,True
bazelbuild_rules_rust,github-actions,True,False
yuxiangw_autodp,github-actions,True,True
fusionjs_fusionjs,buildkite,False,False
