project,stars,commits,build_tool
tipsy_j2html,699,291,maven
PingPlusPlus_pingpp-java,240,160,maven
bastillion-io_Bastillion,2922,709,maven
Phoenix616_MineDown,196,101,maven
okta_samples-java-spring,134,298,maven
jzyong_GameServer4j,205,117,maven
pingfangushi_screw,3019,190,maven
icza_scelight,113,130,maven
ngs-doo_dsl-json,853,392,maven
scireum_s3ninja,376,539,maven
highsource_jsonix-schema-compiler,122,199,maven
RUB-NDS_WS-Attacker,440,159,maven
MrKinau_FishingBot,254,347,maven
warmuuh_milkman,867,703,maven
SourceLabOrg_kafka-webview,383,348,maven
sejda-pdf_webp-imageio,128,104,maven
xiangxik_castle-platform,195,257,maven
rrd4j_rrd4j,244,730,maven
myrrix_myrrix-recommender,106,618,maven
sviperll_adt4j,136,295,maven
JosePaumard_streams-utils,187,202,maven
developersu_ns-usbloader,1329,310,maven
samczsun_Skype4J,147,226,maven
BUAA-BDA_OpenHuFu,137,100,maven
joshlong_bootiful-microservices,532,110,maven
ChargeTimeEU_Java-OCA-OCPP,179,623,maven
dependency-check_dependency-check-sonar-plugin,470,504,maven
marcelmay_hadoop-hdfs-fsimage-exporter,120,212,maven
jenkinsci_hashicorp-vault-plugin,205,360,maven
yahoo_egads,1108,114,maven
lishid_OpenInv,115,321,maven
trekawek_coffee-gb,1062,201,maven
oschina_kooder,354,487,maven
modelmapper_modelmapper,2094,721,maven
rodrigorodrigues_microservices-design-patterns,110,664,maven
nipafx_demo-java-x,276,140,maven
geekyouth_litemall-kl,104,357,maven
huangxianyuan_hxyFrame,855,127,maven
AzureAD_azure-activedirectory-library-for-java,158,295,maven
makersoft_mybatis-shards,187,187,maven
Sable_heros,190,391,maven
zhoumengkang_netty-restful-server,402,102,maven
rterp_SumZeroTrading,140,242,maven
thinkgem_jeesite,7859,372,maven
jesperfj_force-rest-api,131,282,maven
bitstorm_Wicket-tutorial-examples,111,325,maven
elunez_eladmin,19292,507,maven
anji-plus_captcha,920,544,maven
jetlinks_rule-engine,190,271,maven
xuxueli_xxl-mq,409,268,maven
joey-happy_jo-mqtt,120,162,maven
chengxy-nds_Springboot-Notebook,1816,129,maven
apache_rya,109,460,maven
bpodgursky_jbool_expressions,128,255,maven
myxzjie_cms,201,222,maven
734839030_seezoon-stack,237,250,maven
liaohuqiu_android-Ultra-Pull-To-Refresh,9631,182,maven
dlsc-software-consulting-gmbh_CalendarFX,671,591,maven
dromara_raincat,1887,187,maven
DaspawnW_vault-crd,160,143,maven
blobcity_db,172,338,maven
1ssqq1lxr_iot-harbor,261,141,maven
mp911de_logstash-gelf,410,528,maven
OHDSI_WhiteRabbit,127,705,maven
oldmanpushcart_greys-anatomy,3920,653,maven
framiere_a-kafka-story,162,102,maven
baidu_brcc,370,398,maven
alibaba_spring-context-support,141,109,maven
argparse4j_argparse4j,229,479,maven
frost373_KitDB,408,134,maven
FasterXML_jackson-dataformats-text,358,692,maven
tencentyun_cos-java-sdk-v5,138,667,maven
kevinsawicki_http-request,3295,446,maven
jenkinsci_ansible-plugin,215,156,maven
MichaelTamm_junit-toolbox,139,102,maven
jenkinsci_embeddable-build-status-plugin,161,342,maven
core-lib_xjar,1246,221,maven
whitewoodcity_social-vertex,124,648,maven
alexyz_poker,121,149,maven
apache_parquet-format,1288,318,maven
YuJian95_hospital,439,154,maven
treygrainger_solr-in-action,188,114,maven
Yiuman_citrus,374,344,maven
spotify_dns-java,196,161,maven
intsmaze_flink-boot,701,126,maven
statefulj_statefulj,163,306,maven
LLVM-but-worse_java-disassembler,164,239,maven
naturalprogrammer_spring-lemon,654,524,maven
microapp-store_linjiashop,965,382,maven
dschulten_hydra-java,106,378,maven
vincentrussell_sql-to-mongo-db-query-converter,233,267,maven
nju-softeng_dingtalk-app-server,104,709,maven
tushartushar_DesigniteJava,144,291,maven
Nepxion_Matrix,133,309,maven
zsoltherpai_fluent-jdbc,167,332,maven
postaddictme_instagram-java-scraper,408,213,maven
dromara_dante-cloud,348,644,maven
jdereg_java-util,376,715,maven
jpmml_sklearn2pmml,642,461,maven
fusesource_hawtjni,155,291,maven
checkstyle_sonar-checkstyle,153,730,maven
Wolfsblvt_BlossomsPokemonGoManager,397,712,maven
alibaba_QLExpress,3929,295,maven
jenkinsci_cucumber-reports-plugin,188,494,maven
open-pdf-sign_open-pdf-sign,675,102,maven
scobal_seyren,868,640,maven
pac4j_spring-webmvc-pac4j,133,373,maven
dhorions_boxable,291,340,maven
chaosblade-io_chaosblade-exec-jvm,353,180,maven
OpenHFT_Chronicle-Logger,212,647,maven
Simplix-Softworks_SimplixStorage,119,337,maven
jonashackt_spring-boot-graalvm,207,152,maven
bnb-chain_java-sdk,121,221,maven
alphazero_jredis,315,317,maven
serenity-bdd_serenity-cucumber-starter,142,176,maven
Simba-cheng_ApacheCamelDemo,186,232,maven
Graylog2_graylog-plugin-threatintel,142,456,maven
lvwangbeta_Poplar,380,247,maven
java-diff-utils_java-diff-utils,972,476,maven
apache_bahir-flink,711,160,maven
alexkvak_teamcity-slack,122,208,maven
kevin-wayne_algs4,7193,226,maven
megagao_IndoorPos,591,121,maven
openzipkin_zipkin-reporter-java,110,461,maven
DevLeoko_AdvancedBan,130,398,maven
huhuics_joice,230,125,maven
ajanata_PretendYoureXyzzy,1167,574,maven
yourkevin_NiterForum,582,198,maven
perlundq_yajsync,136,229,maven
tdebatty_java-string-similarity,2553,245,maven
datumbox_datumbox-framework,1083,613,maven
palatable_lambda,831,702,maven
mmolimar_kafka-connect-fs,107,204,maven
twitter_hadoop-lzo,539,279,maven
OpenAS2_OpenAs2App,141,630,maven
TheHolyWaffle_TeamSpeak-3-Java-API,301,360,maven
drtimcooper_LatLongToTimezone,149,102,maven
zzzprojects_sqlfiddle2,193,192,maven
liguohua-bigdata_simple-flink,132,496,maven
Flink-zhisheng_flink-learning,117,159,maven
fizzed_rocker,675,396,maven
tkaczmarzyk_specification-arg-resolver,556,428,maven
ehcache_ehcache3-samples,130,265,maven
wuweiit_mushroom,215,166,maven
stoerr_GrokConstructor,152,204,maven
jfree_jfreesvg,275,582,maven
sdaschner_jaxrs-analyzer,320,268,maven
gujiniCY_mayday,118,194,maven
serphacker_serposcope,623,247,maven
RedisLabs_spark-redis,898,700,maven
liyiorg_weixin-popular,2452,346,maven
zhuowei_RaspberryJuice,290,165,maven
stanford-futuredata_macrobase,647,432,maven
a-schild_jave2,960,319,maven
cognitect_transit-cljs,319,282,maven
AbsaOSS_ABRiS,200,412,maven
bobcarroll_jira-client,461,280,maven
aragozin_jvm-tools,3184,420,maven
mybatis_ehcache-cache,130,451,maven
1C-Company_v8-code-style,130,519,maven
mikera_imagez,279,251,maven
rouzwawi_grpc-kotlin,211,151,maven
katjas_PDFrenderer,178,234,maven
saturnism_grpc-by-example-java,838,130,maven
Fadelis_grpcmock,104,124,maven
debezium_debezium-ui,210,562,maven
poetix_protonpack,467,141,maven
psambit9791_jdsp,152,432,maven
flowerfine_scaleph,175,620,maven
alibaba_Appactive,366,133,maven
jmurty_java-xmlbuilder,105,103,maven
greengerong_prerender-java,119,129,maven
danielflower_multi-module-maven-release-plugin,116,249,maven
super-csv_super-csv,502,481,maven
thomasmueller_minperf,136,209,maven
EsotericSoftware_kryonet,1755,190,maven
jzyong_game-server,1067,293,maven
Byron4j_CookBook,683,309,maven
edvin_tornadofx-samples,194,106,maven
Pragmatists_JUnitParams,882,440,maven
github_maven-plugins,574,231,maven
roskenet_springboot-javafx-support,397,191,maven
wakaleo_jenkins-the-definitive-guide-book,317,606,maven
dunwu_java-tutorial,1429,143,maven
vanyouseea_o365,283,342,maven
jfeinstein10_SlidingMenu,11134,336,maven
FasterXML_jackson-datatype-hibernate,288,684,maven
tr7zw_Item-NBT-API,374,461,maven
topsale_leesite,116,120,maven
Devskiller_friendly-id,173,114,maven
wangweiX_blockchain-java,200,119,maven
blinkfox_zealot,146,250,maven
dancancro_great-big-example-application,930,492,maven
alibaba_jstorm,3937,333,maven
MGunlogson_CuckooFilter4J,161,124,maven
ulisesbocchio_spring-boot-security-saml,152,188,maven
samdjstevens_java-totp,272,124,maven
4ra1n_jar-analyzer,557,171,maven
junneyang_xxproject,385,127,maven
radkovo_Pdf2Dom,151,202,maven
osiegmar_FastCSV,421,191,maven
wechaty_java-wechaty,307,208,maven
lenovoDTC_dubbo-G,115,173,maven
fusesource_jansi,972,469,maven
ruisibi_rsbi-pom,306,116,maven
devexperts_aprof,212,238,maven
michael-simons_biking2,176,316,maven
mttkay_signpost,581,175,maven
rayokota_hgraphdb,248,607,maven
lambdaisland_glogi,115,166,maven
mojohaus_exec-maven-plugin,136,545,maven
