project,stars,commits,build_tool
RankSys_RankSys,264,458,maven
HY-Org_hy.common.report,134,312,maven
linlicro_leetcode-java,122,352,maven
cheese10yun_spring-jpa-best-practices,818,245,maven
kiegroup_optaplanner-quickstarts,251,377,maven
apache_incubator-celeborn,358,669,maven
joyang1_JavaInterview,170,325,maven
glorne_springboot-ddd-demo,216,139,maven
iotaledger_iota-java,140,588,maven
yinwang0_rubysonar,186,474,maven
oyse_yedit,108,249,maven
hryou0922_spring_boot,454,175,maven
lematechvip_hrun4j,162,183,maven
magese_ik-analyzer-solr,1120,136,maven
dtprj_dongting,110,349,maven
shzlw_poli,1924,244,maven
stephanenicolas_boundbox,230,229,maven
rchodava_datamill,172,379,maven
brettwooldridge_SansOrm,223,193,maven
stevensouza_automon,562,334,maven
Blazemeter_jmeter-bzm-plugins,120,204,maven
BenHerbst_idaesbasic,123,222,maven
ExpediaGroup_styx,250,677,maven
dain_leveldb,1456,228,maven
RuedigerMoeller_fast-cast,120,209,maven
julianhyde_linq4j,346,205,maven
huaban_jieba-analysis,2247,107,maven
melin_super-diamond,549,252,maven
thiagolocatelli_parse4j,144,168,maven
jhunters_jprotobuf,797,670,maven
gtiwari333_spring-boot-web-application-sample,143,325,maven
lindzh_hasting,203,143,maven
raydac_java-comment-preprocessor,142,458,maven
AxonIQ_axon-quick-start,110,189,maven
wakaleo_game-of-life,1961,433,maven
opoo_opoopress,111,300,maven
gnuhpc_Kafka-zk-restapi,124,201,maven
developers-youcong_yc-framework,135,135,maven
ProxioDev_RedisBungee,120,584,maven
ezylang_EvalEx,844,300,maven
mikaelgrev_miglayout,309,230,maven
1171736840_spring-file-storage,451,125,maven
zerodha_javakiteconnect,149,169,maven
SeleniumHQ_htmlunit-driver,213,682,maven
allanzhuo_yyblog,360,132,maven
Azure_azure-event-hubs-spark,225,377,maven
alibaba_otter,7541,154,maven
Pi4J_pi4j-v2,180,453,maven
lyft_presto-gateway,314,286,maven
hellokaton_anima,225,168,maven
LABELNET_YuanNews,223,555,maven
insideapp-oss_sonar-flutter,300,144,maven
anruence_enode,190,248,maven
nuroko_nurokit,228,104,maven
petitparser_java-petitparser,150,360,maven
mertakdut_EpubParser,107,170,maven
FasterXML_java-classmate,241,253,maven
superzanti_ServerSync,132,584,maven
vladmihalcea_hypersistence-utils,1882,692,maven
sequenceiq_sequenceiq-samples,116,184,maven
yunyu_vertx-console,196,152,maven
randian666_algorithm-study,187,297,maven
mariazevedo88_travels-java-api,180,115,maven
ph7_selenium-client,153,320,maven
federicodotta_Brida,1320,110,maven
Eugene-Mark_bigdata-file-viewer,244,105,maven
swagger-api_validator-badge,179,297,maven
FedUni_caliko,135,121,maven
baomidou_mybatis-plus-samples,1940,290,maven
ivan-vasilev_neuralnetworks,1217,351,maven
jpmml_jpmml-lightgbm,155,287,maven
raydac_mvn-golang,151,720,maven
RediSearch_JRediSearch,134,289,maven
geekyouth_SZT-bigdata,1757,278,maven
lucko_helper,403,400,maven
AlternativaPlatform_Alternativa3D,368,228,maven
IoT-Technology_IoT-Toolkit,157,342,maven
cloudml_zen,172,434,maven
fulcrologic_guardrails,171,137,maven
xuan698400_xutils,107,228,maven
agoncal_agoncal-application-petstore-ee7,191,104,maven
zjn-zjn_ice,409,199,maven
apache_flink-kubernetes-operator,413,560,maven
4thline_cling,1575,289,maven
TraceNature_redissyncer-server,541,280,maven
Pay-Group_best-pay-sdk,2785,209,maven
byhieg_JavaTutorial,629,134,maven
netopyr_reduxfx,109,264,maven
loda-kun_spring-boot-learning,1138,118,maven
daniel-frak_keycloak-user-migration,165,162,maven
jenkinsci_kubernetes-pipeline-plugin,155,328,maven
apache_distributedlog,180,249,maven
jenkinsci_lib-file-leak-detector,212,233,maven
retrostreams_android-retrostreams,109,333,maven
trol73_mucommander,175,700,maven
Tillerino_Tillerinobot,313,691,maven
ahorn_android-rss,529,112,maven
soyojoearth_nxtframework,160,275,maven
kohsuke_com4j,139,481,maven
dexter_dexter,203,434,maven
frohoff_ysoserial,6081,167,maven
rongcloud_server-sdk-java,248,270,maven
reficio_p2-maven-plugin,222,422,maven
hammock-project_hammock,105,399,maven
kakawait_cas-security-spring-boot-starter,148,236,maven
alexa_alexa-skills-kit-sdk-for-java,803,606,maven
os72_protoc-jar,129,331,maven
awslabs_aws-codedeploy-plugin,151,150,maven
javamonkey_beetl2.0,416,602,maven
zhuxiaoshang_flink-be-god,111,145,maven
AppsFlyer_donkey,276,189,maven
jmc2obj_j-mc-2-obj,262,689,maven
pentaho_pdi-sdk-plugins,103,281,maven
ssssssss-team_spider-flow,7668,482,maven
chucheng92_TinyMooc,113,176,maven
hao117_bee-apm,147,426,maven
qiujiayu_AutoLoadCache,2007,568,maven
youzhengjie9_yblog,237,217,maven
mttkay_ignition,1287,352,maven
paulc4_microservices-demo,852,116,maven
USPTO_PatentPublicData,147,627,maven
j256_ormlite-android,1575,525,maven
qtc-de_beanshooter,194,388,maven
nivance_DPModel,261,127,maven
MaxPixelStudios_MinecraftDecompiler,140,364,maven
apache_flink-benchmarks,106,189,maven
jiayaoO3O_18-comic-finder,287,326,maven
facebook_ktfmt,622,439,maven
Ardesco_Selenium-Maven-Template,443,131,maven
fusesource_hawtdispatch,183,371,maven
s7_scale7-pelops,119,364,maven
rememberber_MooInfo,108,176,maven
metersphere_jenkins-plugin,197,235,maven
vakinge_oneplatform,116,139,maven
zhaojun1998_Shiro-Action,407,315,maven
tools4j_unix4j,215,486,maven
EsotericSoftware_clippy,111,194,maven
vaadin_hilla,477,577,maven
spoofzu_DeepViolet,131,727,maven
google_compile-testing,646,444,maven
rayokota_kcache,207,730,maven
ef-labs_vertx-jersey,151,452,maven
ShprAlex_SproutLife,571,726,maven
iohao_iogame,339,156,maven
417511458_jbone,986,461,maven
Polve_bitcoin-rpc-client,135,201,maven
andytill_erlyberly,682,376,maven
vdenotaris_spring-boot-security-saml-sample,530,175,maven
funcool_promesa,427,647,maven
vesoft-inc_nebula-java,139,313,maven
minecrafter_RedisBungee,159,328,maven
spring-projects_spring-data-examples,4724,655,maven
jenkinsci_android-emulator-plugin,201,553,maven
alibaba_SmartEngine,558,325,maven
jagrosh_Vortex,501,152,maven
jreijn_spring-comparing-template-engines,410,130,maven
spring-cloud_spring-cloud-deployer-kubernetes,153,481,maven
hellosmile01_wangsy-january,171,113,maven
yindz_common-random,398,260,maven
apache_servicecomb-toolkit,444,238,maven
lurenha_blogSpringBoot,264,125,maven
aharin_inproctester,125,147,maven
lyogavin_Pistachio,110,116,maven
MeetYouDevs_big-whale,278,153,maven
simpligility_maven-repository-tools,123,305,maven
twitter_twitter-korean-text,808,506,maven
JitseB_NPCLib,191,298,maven
akardapolov_ASH-Viewer,130,104,maven
fujieid_jap,145,451,maven
wrandelshofer_FastDoubleParser,129,368,maven
spring-projects-experimental_spring-modulith,255,186,maven
raydac_java-binary-block-parser,212,637,maven
