project,ci_tool,non_expanded_command_size,expanded_command_size
yamcs_yamcs,github_actions,3,3
xerial_sqlite-jdbc,github_actions,2,2
xerial_sqlite-jdbc,github_actions,3,3
xerial_sqlite-jdbc,github_actions,4,4
criteo_biggraphite,github_actions,1,1
jolie_jolie,github_actions,3,3
jolie_jolie,github_actions,1,1
jolie_jolie,github_actions,2,2
jolie_jolie,travis_ci,4,4
locationtech_geomesa,github_actions,2,2
locationtech_geomesa,github_actions,3,3
locationtech_geomesa,github_actions,0,0
hygieia_hygieia,travis_ci,2,2
GraphWalker_graphwalker-project,github_actions,2,2
galenframework_galen,travis_ci,3,3
oshi_oshi,travis_ci,0,0
shrinkwrap_shrinkwrap,circle_ci,2,2
shrinkwrap_shrinkwrap,circle_ci,0,0
yegor256_cactoos,github_actions,1,1
yegor256_cactoos,github_actions,4,4
yegor256_cactoos,github_actions,3,3
steve-community_steve,github_actions,3,3
steve-community_steve,github_actions,5,5
mjanicek_rembulan,travis_ci,1,1
BentoBoxWorld_BentoBox,github_actions,2,2
BentoBoxWorld_BentoBox,github_actions,1,1
oehf_ipf,github_actions,2,2
oehf_ipf,travis_ci,2,2
mongock_mongock,github_actions,3,3
mongock_mongock,github_actions,2,2
networknt_json-schema-validator,github_actions,0,0
clearflask_clearflask,github_actions,0,0
everit-org_json-schema,travis_ci,0,0
watson-developer-cloud_java-sdk,github_actions,3,3
watson-developer-cloud_java-sdk,github_actions,2,2
watson-developer-cloud_java-sdk,travis_ci,2,2
watson-developer-cloud_java-sdk,travis_ci,0,0
jMetal_jMetal,github_actions,2,2
jMetal_jMetal,github_actions,3,3
eclipse-vertx_vert.x,github_actions,3,3
microsoft_spring-cloud-azure,github_actions,4,4
microsoft_spring-cloud-azure,github_actions,1,1
knowm_XChange,github_actions,4,4
knowm_XChange,github_actions,5,5
FasterXML_jackson-jr,travis_ci,1,1
OpenRefine_OpenRefine,github_actions,1,1
OpenRefine_OpenRefine,github_actions,0,0
OpenRefine_OpenRefine,github_actions,5,5
Archy-X_AureliumSkills,github_actions,0,0
scalecube_scalecube-cluster,github_actions,4,4
scalecube_scalecube-cluster,github_actions,1,1
scalecube_scalecube-cluster,github_actions,5,5
scalecube_scalecube-cluster,github_actions,0,0
ferstl_depgraph-maven-plugin,github_actions,0,0
ferstl_depgraph-maven-plugin,github_actions,1,1
lets-blade_blade,travis_ci,0,0
Universite-Gustave-Eiffel_NoiseModelling,github_actions,1,1
Universite-Gustave-Eiffel_NoiseModelling,github_actions,2,2
HubSpot_Baragon,travis_ci,3,3
zinggAI_zingg,github_actions,1,1
graphhopper_graphhopper,github_actions,2,2
graphhopper_graphhopper,github_actions,1,1
graphhopper_graphhopper,github_actions,3,3
apache_bigtop,travis_ci,1,1
aliyun_aliyun-emapreduce-datasources,travis_ci,2,2
ClickHouse_clickhouse-java,github_actions,3,3
ClickHouse_clickhouse-java,github_actions,7,7
ClickHouse_clickhouse-java,github_actions,0,0
ClickHouse_clickhouse-java,github_actions,6,6
ClickHouse_clickhouse-java,github_actions,4,4
ClickHouse_clickhouse-java,github_actions,5,5
Tillerino_Tillerinobot,github_actions,4,4
microsoft_playwright-java,github_actions,3,3
microsoft_playwright-java,github_actions,2,2
microsoft_playwright-java,github_actions,5,5
microsoft_playwright-java,github_actions,4,4
microsoft_playwright-java,github_actions,1,1
microsoft_playwright-java,github_actions,0,0
locationtech_geogig,github_actions,1,1
locationtech_geogig,github_actions,5,5
locationtech_geogig,github_actions,3,3
support-project_knowledge,travis_ci,3,3
atlassian_data-center-helm-charts,github_actions,1,1
aicis_fresco,github_actions,0,0
brettwooldridge_HikariCP,github_actions,3,3
brettwooldridge_HikariCP,circle_ci,0,0
googleapis_google-oauth-java-client,github_actions,1,1
googleapis_google-oauth-java-client,github_actions,3,3
googleapis_google-oauth-java-client,github_actions,4,4
googleapis_google-oauth-java-client,github_actions,2,2
jeremylong_DependencyCheck,github_actions,3,3
jeremylong_DependencyCheck,github_actions,6,6
jeremylong_DependencyCheck,github_actions,1,1
jeremylong_DependencyCheck,github_actions,0,0
jeremylong_DependencyCheck,github_actions,4,4
jeremylong_DependencyCheck,github_actions,5,5
jeremylong_DependencyCheck,github_actions,7,7
webanno_webanno,github_actions,2,2
damianszczepanik_cucumber-reporting,github_actions,1,1
damianszczepanik_cucumber-reporting,github_actions,5,5
orphan-oss_ognl,github_actions,3,3
orphan-oss_ognl,github_actions,4,4
eclipse_dirigible,github_actions,1,1
eclipse_dirigible,github_actions,2,2
eclipse_dirigible,github_actions,0,0
eclipse_dirigible,github_actions,5,5
CertifaiAI_classifai,github_actions,2,2
ICIJ_extract,circle_ci,0,0
ICIJ_extract,circle_ci,2,2
eclipse-tycho_tycho,github_actions,9,9
eclipse-tycho_tycho,github_actions,8,8
eclipse-tycho_tycho,github_actions,12,12
graphstream_gs-core,travis_ci,0,0
akkinoc_logback-access-spring-boot-starter,github_actions,1,1
akkinoc_logback-access-spring-boot-starter,github_actions,4,4
akkinoc_logback-access-spring-boot-starter,github_actions,2,2
Atmosphere_atmosphere-javascript,github_actions,2,2
castlemock_castlemock,github_actions,1,1
eclipse_vorto,travis_ci,1,1
eclipse_vorto,travis_ci,3,3
google_libphonenumber,github_actions,5,5
SANSA-Stack_SANSA-Stack,github_actions,2,2
platonai_pulsarR,github_actions,2,2
platonai_pulsarR,github_actions,1,1
viritin_viritin,travis_ci,0,0
karatelabs_karate,github_actions,3,3
karatelabs_karate,github_actions,4,4
karatelabs_karate,github_actions,5,5
pagehelper_Mybatis-PageHelper,github_actions,3,3
HXSecurity_DongTai-agent-java,github_actions,3,3
HXSecurity_DongTai-agent-java,github_actions,2,2
HXSecurity_DongTai-agent-java,github_actions,1,1
geotools_geotools,github_actions,8,8
geotools_geotools,github_actions,5,5
geotools_geotools,github_actions,7,7
geotools_geotools,github_actions,4,4
geotools_geotools,github_actions,6,6
geotools_geotools,github_actions,10,10
geotools_geotools,github_actions,3,3
awslabs_aws-serverless-java-container,github_actions,3,3
awslabs_aws-serverless-java-container,github_actions,1,1
awslabs_aws-serverless-java-container,github_actions,2,2
OCR4all_LAREX,github_actions,1,1
spotify-web-api-java_spotify-web-api-java,github_actions,2,2
unipop-graph_unipop,travis_ci,0,0
maven-nar_nar-maven-plugin,travis_ci,2,2
pgcodekeeper_pgcodekeeper,github_actions,2,2
hs-web_hsweb-easy-orm,github_actions,2,2
spring-projects_spring-data-examples,travis_ci,1,1
spring-projects_spring-data-examples,travis_ci,5,5
vert-x3_vertx-rx,github_actions,3,3
jan-molak_jenkins-build-monitor-plugin,github_actions,1,1
jan-molak_jenkins-build-monitor-plugin,github_actions,2,2
OSBI_saiku,circle_ci,3,3
resty-gwt_resty-gwt,travis_ci,1,1
PetteriM1_NukkitPetteriM1Edition,github_actions,1,1
haraldk_TwelveMonkeys,github_actions,0,0
haraldk_TwelveMonkeys,github_actions,3,3
haraldk_TwelveMonkeys,github_actions,2,2
YunaiV_yudao-cloud,github_actions,3,3
MobiVM_robovm,github_actions,0,0
MobiVM_robovm,github_actions,1,1
wso2_product-microgateway,github_actions,1,1
wso2_product-microgateway,github_actions,3,3
wso2_product-microgateway,travis_ci,8,8
jcabi_jcabi-github,github_actions,1,1
jcabi_jcabi-github,github_actions,3,3
antlr_antlr3,github_actions,3,3
G-Research_siembol,github_actions,2,2
G-Research_siembol,github_actions,1,1
palatable_lambda,github_actions,0,0
cucumber_cucumber-eclipse,github_actions,2,2
techa03_goodsKill,github_actions,0,0
flowerfine_scaleph,github_actions,4,4
flowerfine_scaleph,github_actions,5,5
hub4j_github-api,github_actions,3,3
hub4j_github-api,github_actions,4,4
niumoo_bing-wallpaper,github_actions,2,2
AKSW_RDFUnit,travis_ci,0,0
HubSpot_slack-client,github_actions,2,2
HubSpot_slack-client,travis_ci,2,2
git-commit-id_git-commit-id-maven-plugin,github_actions,3,3
git-commit-id_git-commit-id-maven-plugin,github_actions,1,1
git-commit-id_git-commit-id-maven-plugin,github_actions,2,2
git-commit-id_git-commit-id-maven-plugin,github_actions,4,4
apache_commons-math,github_actions,3,3
apache_commons-math,github_actions,2,2
ballcat-projects_ballcat,github_actions,2,2
strongbox_strongbox,travis_ci,5,5
NetEase_arctic,github_actions,3,3
NetEase_arctic,github_actions,1,1
NetEase_arctic,github_actions,2,2
bytedeco_javacpp-presets,github_actions,4,4
bytedeco_javacpp-presets,travis_ci,0,0
bytedeco_javacpp-presets,travis_ci,1,1
bytedeco_javacpp-presets,travis_ci,8,8
bytedeco_javacpp-presets,travis_ci,3,3
verdict-project_verdict,circle_ci,5,5
verdict-project_verdict,circle_ci,2,2
verdict-project_verdict,circle_ci,3,3
ClouGence_hasor,travis_ci,1,1
OreosLab_bili,github_actions,3,3
OreosLab_bili,github_actions,2,2
chocoteam_choco-solver,github_actions,5,5
chocoteam_choco-solver,github_actions,3,3
chocoteam_choco-solver,github_actions,1,1
chocoteam_choco-solver,github_actions,4,4
chocoteam_choco-solver,travis_ci,2,2
chocoteam_choco-solver,travis_ci,5,5
sokomishalov_skraper,github_actions,0,0
geosolutions-it_MapStore2,github_actions,3,3
geosolutions-it_MapStore2,github_actions,2,2
geosolutions-it_MapStore2,github_actions,1,1
geosolutions-it_MapStore2,travis_ci,0,0
opencypher_openCypher,github_actions,2,2
opencypher_openCypher,github_actions,0,0
