project,ci_tool,non_expanded_command_size,expanded_command_size
SeleniumHQ_htmlunit-driver,travis_ci,0,0
eirslett_frontend-maven-plugin,github_actions,3,3
ta4j_ta4j,github_actions,1,1
ta4j_ta4j,travis_ci,1,1
orphan-oss_launch4j-maven-plugin,github_actions,4,4
davidmoten_rxjava2-jdbc,github_actions,2,2
NLPchina_elasticsearch-sql,travis_ci,0,0
apache_commons-jexl,github_actions,4,4
mcMMO-Dev_mcMMO,github_actions,2,2
davidmoten_xsd-forms,github_actions,2,2
anyascii_anyascii,github_actions,1,1
anyascii_anyascii,github_actions,3,3
anyascii_anyascii,github_actions,0,0
terrier-org_terrier-core,github_actions,2,2
undertow-io_undertow,github_actions,1,1
undertow-io_undertow,github_actions,5,5
jchambers_pushy,github_actions,2,2
atomashpolskiy_bt,travis_ci,3,3
atomashpolskiy_bt,travis_ci,2,2
jpush_jpush-api-java-client,github_actions,2,2
jpush_jpush-api-java-client,github_actions,1,1
apache_sedona,github_actions,0,0
apache_sedona,github_actions,3,3
apache_sedona,github_actions,5,5
apache_struts,github_actions,4,4
apache_struts,github_actions,5,5
imagej_ImageJ,github_actions,3,3
vorburger_MariaDB4j,travis_ci,3,3
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,2,2
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,1,1
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,0,0
ShaftHQ_SHAFT_ENGINE,github_actions,1,1
ShaftHQ_SHAFT_ENGINE,github_actions,7,7
ShaftHQ_SHAFT_ENGINE,github_actions,6,6
ShaftHQ_SHAFT_ENGINE,github_actions,11,11
ShaftHQ_SHAFT_ENGINE,github_actions,12,12
ShaftHQ_SHAFT_ENGINE,github_actions,3,3
sarxos_webcam-capture,github_actions,0,0
sarxos_webcam-capture,travis_ci,1,1
igniterealtime_Openfire,github_actions,3,3
googleapis_google-api-java-client,github_actions,1,1
googleapis_google-api-java-client,github_actions,3,3
googleapis_google-api-java-client,github_actions,0,0
googleapis_google-api-java-client,github_actions,2,2
googleapis_google-api-java-client,github_actions,4,4
fizzgate_fizz-gateway-community,github_actions,2,2
got5_tapestry5-jquery,travis_ci,4,4
bytedeco_javacv,travis_ci,4,4
bytedeco_javacv,travis_ci,6,6
bytedeco_javacv,travis_ci,7,7
apache_dubbo,github_actions,2,2
checkstyle_checkstyle,github_actions,1,1
checkstyle_checkstyle,github_actions,5,5
checkstyle_checkstyle,github_actions,3,3
checkstyle_checkstyle,github_actions,4,4
checkstyle_checkstyle,github_actions,2,2
checkstyle_checkstyle,circle_ci,2,2
checkstyle_checkstyle,circle_ci,3,3
checkstyle_checkstyle,circle_ci,5,5
checkstyle_checkstyle,circle_ci,4,4
checkstyle_checkstyle,travis_ci,3,3
checkstyle_checkstyle,travis_ci,4,4
checkstyle_checkstyle,travis_ci,2,2
checkstyle_checkstyle,travis_ci,5,5
cpesch_RouteConverter,github_actions,1,1
cpesch_RouteConverter,github_actions,2,2
spring-petclinic_spring-petclinic-microservices,github_actions,2,2
google_gson,github_actions,4,4
google_gson,github_actions,2,2
google_gson,github_actions,3,3
servicex-sh_httpx,github_actions,2,2
servicex-sh_httpx,github_actions,3,3
Card-Forge_forge,github_actions,3,3
farin_JCloisterZone,github_actions,4,4
wso2_product-ei,travis_ci,5,5
Nepxion_Discovery,github_actions,2,2
antlr_grammars-v4,github_actions,0,0
openscoring_openscoring,github_actions,2,2
gchq_Gaffer,github_actions,2,2
gchq_Gaffer,github_actions,4,4
gchq_Gaffer,github_actions,5,5
gchq_Gaffer,github_actions,3,3
graphhopper_jsprit,github_actions,2,2
apache_commons-codec,github_actions,3,3
apache_servicecomb-java-chassis,github_actions,7,7
apache_servicecomb-java-chassis,github_actions,4,4
apache_servicecomb-java-chassis,github_actions,2,2
apache_servicecomb-java-chassis,github_actions,3,3
rrd4j_rrd4j,circle_ci,3,3
rrd4j_rrd4j,circle_ci,2,2
rrd4j_rrd4j,circle_ci,4,4
rrd4j_rrd4j,circle_ci,5,5
mojohaus_mojo-parent,github_actions,3,3
undera_jmeter-plugins,github_actions,5,5
megaease_easeagent,github_actions,0,0
clojure_tools.deps.alpha,github_actions,1,1
apereo_java-cas-client,github_actions,0,0
apereo_java-cas-client,github_actions,1,1
STAMP-project_dspot,github_actions,1,1
STAMP-project_dspot,github_actions,0,0
STAMP-project_dspot,github_actions,3,3
authorjapps_zerocode,github_actions,0,0
bytedeco_javacpp,travis_ci,5,5
bytedeco_javacpp,travis_ci,8,8
astamuse_asta4d,travis_ci,0,0
DreamVoid_MiraiMC,github_actions,2,2
apache_commons-csv,github_actions,3,3
apache_commons-exec,github_actions,3,3
apache_commons-exec,github_actions,4,4
vert-x3_vertx-stack,github_actions,4,4
vert-x3_vertx-stack,github_actions,3,3
vert-x3_vertx-stack,github_actions,5,5
rxtx_rxtx,github_actions,3,3
rxtx_rxtx,github_actions,7,7
structr_structr,github_actions,2,2
structr_structr,github_actions,4,4
revelc_formatter-maven-plugin,github_actions,4,4
ControlSystemStudio_cs-studio,github_actions,1,1
ControlSystemStudio_cs-studio,github_actions,2,2
openpnp_openpnp,github_actions,2,2
openpnp_openpnp,github_actions,3,3
terasolunaorg_terasoluna-gfw,travis_ci,1,1
terasolunaorg_terasoluna-gfw,travis_ci,2,2
RWS_odata,github_actions,2,2
jberet_jsr352,github_actions,4,4
biojava_biojava,github_actions,0,0
biojava_biojava,github_actions,3,3
cglib_cglib,travis_ci,3,3
amaembo_streamex,github_actions,2,2
amaembo_streamex,github_actions,5,5
SmartDataAnalytics_DL-Learner,github_actions,1,1
lemire_javaewah,github_actions,0,0
lemire_javaewah,travis_ci,0,0
apache_datasketches-java,github_actions,0,0
apache_datasketches-java,github_actions,2,2
apache_datasketches-java,github_actions,3,3
yegor256_qulice,github_actions,2,2
cometd_cometd,github_actions,3,3
mycontroller-org_mycontroller-v1-legacy,travis_ci,0,0
dice-group_gerbil,github_actions,4,4
dice-group_gerbil,github_actions,2,2
yamcs_yamcs,github_actions,5,5
yamcs_yamcs,github_actions,2,2
