project,ci_tool,subcommands,skip_tests,build_tests_only,use_build_tool
checkstyle_checkstyle,circle_ci,"clean,versions:dependency-updates-report",False,False,True
checkstyle_checkstyle,circle_ci,"clean,install",False,False,True
checkstyle_checkstyle,circle_ci,install,False,False,True
checkstyle_checkstyle,circle_ci,verify,False,False,True
checkstyle_checkstyle,circle_ci,checkstyle:check@default,False,False,True
checkstyle_checkstyle,circle_ci,install:install-file,False,False,True
checkstyle_checkstyle,circle_ci,"clean,verify",True,False,True
checkstyle_checkstyle,circle_ci,"clean,test-compile,pmd:check,spotbugs:check",False,False,True
checkstyle_checkstyle,circle_ci,"clean,site",False,False,True
checkstyle_checkstyle,circle_ci,release:prepare,False,False,True
checkstyle_checkstyle,circle_ci,release:clean,False,False,True
checkstyle_checkstyle,circle_ci,"clean,package",False,False,True
checkstyle_checkstyle,circle_ci,package,False,False,True
checkstyle_checkstyle,circle_ci,site,False,False,True
checkstyle_checkstyle,circle_ci,"clean,package,sonar:sonar",False,False,True
checkstyle_checkstyle,circle_ci,"compile,checkstyle:check",False,False,True
checkstyle_checkstyle,circle_ci,checkstyle:check,False,False,True
checkstyle_checkstyle,circle_ci,"compile,verify",False,False,True
checkstyle_checkstyle,circle_ci,checkstyle:check@checkstyle-validation,False,False,True
checkstyle_checkstyle,circle_ci,compile,False,False,True
checkstyle_checkstyle,circle_ci,"clean,test",False,False,True
checkstyle_checkstyle,travis_ci,help:evaluate,False,False,True
checkstyle_checkstyle,travis_ci,install,False,False,True
checkstyle_checkstyle,travis_ci,"clean,compile,exec:exec",False,False,True
checkstyle_checkstyle,travis_ci,"clean,nondex:nondex",False,False,True
checkstyle_checkstyle,travis_ci,"clean,integration-test,failsafe:verify",False,False,True
checkstyle_checkstyle,travis_ci,"clean,versions:dependency-updates-report",False,False,True
checkstyle_checkstyle,travis_ci,"clean,install",False,False,True
checkstyle_checkstyle,travis_ci,verify,False,False,True
checkstyle_checkstyle,travis_ci,checkstyle:check@default,False,False,True
checkstyle_checkstyle,travis_ci,install:install-file,False,False,True
checkstyle_checkstyle,travis_ci,"clean,verify",True,False,True
checkstyle_checkstyle,travis_ci,"clean,test-compile,pmd:check,spotbugs:check",False,False,True
checkstyle_checkstyle,travis_ci,"clean,site",False,False,True
checkstyle_checkstyle,travis_ci,release:prepare,False,False,True
checkstyle_checkstyle,travis_ci,release:clean,False,False,True
checkstyle_checkstyle,travis_ci,"clean,package",False,False,True
checkstyle_checkstyle,travis_ci,package,False,False,True
checkstyle_checkstyle,travis_ci,site,False,False,True
checkstyle_checkstyle,travis_ci,"clean,package,sonar:sonar",False,False,True
checkstyle_checkstyle,travis_ci,"compile,checkstyle:check",False,False,True
checkstyle_checkstyle,travis_ci,checkstyle:check,False,False,True
checkstyle_checkstyle,travis_ci,"compile,verify",False,False,True
checkstyle_checkstyle,travis_ci,checkstyle:check@checkstyle-validation,False,False,True
checkstyle_checkstyle,travis_ci,compile,False,False,True
checkstyle_checkstyle,travis_ci,"clean,test",False,False,True
apache_dolphinscheduler,github_actions,"clean,deploy",False,False,True
apache_dolphinscheduler,github_actions,"clean,install",False,False,True
apache_dolphinscheduler,github_actions,exec:exec,False,False,True
apache_dolphinscheduler,github_actions,spotless:check,False,False,True
apache_dolphinscheduler,github_actions,"clean,verify",True,False,True
apache_dolphinscheduler,github_actions,"verify,sonar:sonar",True,False,True
apache_dolphinscheduler,github_actions,"clean,install,verify",True,False,True
cpesch_RouteConverter,github_actions,verify,False,False,True
cpesch_RouteConverter,travis_ci,test,False,False,True
cpesch_RouteConverter,travis_ci,install,True,False,True
HtmlUnit_htmlunit,github_actions,"clean,package",True,False,True
spring-petclinic_spring-petclinic-microservices,github_actions,package,False,False,True
Norconex_collector-http,github_actions,"clean,package",True,False,True
google_gson,github_actions,install,True,False,True
google_gson,github_actions,"package,japicmp:cmp",True,False,True
google_gson,github_actions,compile,False,False,True
google_gson,github_actions,"verify,javadoc:jar",False,False,True
servicex-sh_httpx,github_actions,"clean,package",True,False,True
servicex-sh_httpx,github_actions,package,True,False,True
Card-Forge_forge,github_actions,clean,False,False,True
Card-Forge_forge,github_actions,"clean,install,release:clean,release:prepare,release:perform",False,False,True
Card-Forge_forge,github_actions,"clean,test",False,False,True
farin_JCloisterZone,github_actions,package,False,False,True
wso2_product-ei,travis_ci,"clean,install",False,False,True
Nepxion_Discovery,github_actions,package,False,False,True
antlr_grammars-v4,github_actions,test,False,False,True
openscoring_openscoring,github_actions,package,False,False,True
SpoutDev_Spout,travis_ci,package,False,False,True
SpoutDev_Spout,travis_ci,test,False,False,True
gchq_Gaffer,github_actions,versions:set,False,False,True
gchq_Gaffer,github_actions,"clean,install",False,False,True
gchq_Gaffer,github_actions,javadoc:javadoc,False,False,True
gchq_Gaffer,github_actions,verify,False,False,True
gchq_Gaffer,github_actions,release:update-versions,False,False,True
gchq_Gaffer,github_actions,help:evaluate,False,False,True
gchq_Gaffer,github_actions,deploy,False,False,True
graphhopper_jsprit,github_actions,verify,False,False,True
apache_commons-codec,github_actions,"test,jacoco:report",False,False,True
apache_commons-codec,github_actions,"clean,package",True,False,True
apache_dubbo-admin,github_actions,package,False,False,True
apache_dubbo-admin,github_actions,"docker:stop,docker:remove,verify",False,False,True
apache_dubbo-admin,github_actions,"clean,package",True,False,True
apache_dubbo-admin,github_actions,"clean,install",True,False,True
apache_servicecomb-java-chassis,github_actions,"clean,install",False,False,True
apache_servicecomb-java-chassis,github_actions,"install,checkstyle:check",True,False,True
apache_servicecomb-java-chassis,github_actions,"clean,verify,spotbugs:spotbugs",True,False,True
rrd4j_rrd4j,circle_ci,"dependency:resolve,dependency:resolve-plugins",False,False,True
rrd4j_rrd4j,circle_ci,"clean,compile",False,False,True
rrd4j_rrd4j,circle_ci,test,False,False,True
rrd4j_rrd4j,circle_ci,deploy,True,False,True
mojohaus_mojo-parent,github_actions,"verify,site",False,False,True
undera_jmeter-plugins,github_actions,"test,install",False,False,True
magefree_mage,travis_ci,test,False,False,True
magefree_mage,travis_ci,install,True,False,True
megaease_easeagent,github_actions,"clean,package",False,False,True
clojure_tools.deps.alpha,github_actions,package,False,False,True
apereo_java-cas-client,github_actions,"clean,install",False,False,True
apereo_java-cas-client,github_actions,deploy,False,False,True
STAMP-project_dspot,github_actions,install,True,False,True
STAMP-project_dspot,github_actions,checkstyle:checkstyle,False,False,True
STAMP-project_dspot,github_actions,test,False,False,True
STAMP-project_dspot,github_actions,"clean,test",False,False,True
STAMP-project_dspot,github_actions,"test,jacoco:report",False,False,True
STAMP-project_dspot,travis_ci,compile,False,False,True
STAMP-project_dspot,travis_ci,install,True,False,True
authorjapps_zerocode,github_actions,"clean,test",False,False,True
bytedeco_javacpp,travis_ci,clean,False,False,True
bytedeco_javacpp,travis_ci,dependency:list,False,False,True
bytedeco_javacpp,travis_ci,deploy:deploy-file,False,False,True
astamuse_asta4d,travis_ci,test,False,False,True
astamuse_asta4d,travis_ci,"clean,package,install",True,False,True
DreamVoid_MiraiMC,github_actions,"clean,package",True,False,True
DreamVoid_MiraiMC,github_actions,package,False,False,True
apache_commons-csv,github_actions,"test,jacoco:report",False,False,True
apache_commons-csv,github_actions,"clean,package",True,False,True
apache_commons-exec,github_actions,"test,jacoco:report",False,False,True
apache_commons-exec,github_actions,"clean,package",True,False,True
andrei1058_BedWars1058,github_actions,versions:set,False,False,True
andrei1058_BedWars1058,github_actions,versions:update-child-modules,False,False,True
andrei1058_BedWars1058,github_actions,"clean,deploy",False,False,True
andrei1058_BedWars1058,github_actions,javadoc:javadoc,False,False,True
andrei1058_BedWars1058,github_actions,"clean,install",False,False,True
l0rdn1kk0n_wicket-bootstrap,travis_ci,test,False,False,True
l0rdn1kk0n_wicket-bootstrap,travis_ci,install,True,False,True
netty_netty-tcnative,github_actions,"clean,package",True,False,True
netty_netty-tcnative,github_actions,release:prepare,True,False,True
netty_netty-tcnative,github_actions,clean,False,False,True
netty_netty-tcnative,github_actions,release:rollback,False,False,True
netty_netty-tcnative,github_actions,"clean,javadoc:jar,package,gpg:sign",True,False,True
vert-x3_vertx-stack,github_actions,"clean,verify",False,False,True
vert-x3_vertx-stack,github_actions,deploy,True,False,True
martinpaljak_GlobalPlatformPro,github_actions,verify,False,False,True
