project,id,commit,cache_type,processes,cache_hit,status,size,commits,median_elapsed_time,label
google_brotli,20,8376f72ed6a8ca01548aad1a4f4f1df33094d3e0,local,54,4,success,435.0,1073.0,104.684,short build duration
google_brotli,21,4ec67035c0d97c270c1c73038cc66fc5fcdfc120,local,54,36,success,11.0,1073.0,28.81,short build duration
google_brotli,22,e83c7b8e8fb8b696a1df6866bc46cbb76d7e0348,local,54,39,success,5.0,1073.0,23.872,short build duration
google_brotli,23,f4153a09f87cbb9c826d8fc12c74642bb2d879ea,local,54,39,success,2.0,1073.0,19.961,short build duration
google_brotli,24,c9eb85691ff436a4d7cd7cd33d64255126ef635c,local,54,39,success,16.0,1073.0,20.958,short build duration
google_brotli,25,f09b2555acf46810184c8cdccdb274b9c20e83eb,local,54,39,success,2.0,1073.0,21.022,short build duration
google_brotli,26,9801a2c5d6c67c467ffad676ac301379bb877fc3,local,54,39,success,2.0,1073.0,20.579,short build duration
google_brotli,27,6d03dfbedda1615c4cba1211f8d81735575209c8,local,54,37,success,4.0,1073.0,24.086,short build duration
google_brotli,28,388d0d53fb29271492537015beeed91b74076411,local,54,39,success,3.0,1073.0,20.113,short build duration
google_brotli,29,a8f5813b843b7ec469dbd3d8a6a8743395359964,local,54,0,success,1314.0,1073.0,169.443,short build duration
google_brotli,30,ae212a792e470b7a07dbb8fb4a5b3d78e1de78d1,local,54,39,success,12.0,1073.0,21.154,short build duration
google_brotli,31,f842c1bcf9264431cd3b15429a72b7dafbe80509,local,54,39,success,2.0,1073.0,20.827,short build duration
google_brotli,32,3914999fcc1fda92e750ef9190aa6db9bf7bdb07,local,54,39,success,2.0,1073.0,20.963,short build duration
google_brotli,33,641bec0e30bea648b3da1cd90fc6b44deb429f71,local,54,39,success,52.0,1073.0,20.853,short build duration
google_brotli,34,9b537032371a234d32829def19f4d671e22fde0e,local,54,39,success,14.0,1073.0,22.248,short build duration
google_brotli,35,c48ebca4a8d852eae4a6f1c7609878a784649f41,local,54,39,success,15.0,1073.0,22.186,short build duration
google_brotli,36,3152d995b397f4a3ba9da8c2959cbe5ace7d2ee5,local,54,39,success,16.0,1073.0,22.627,short build duration
