project,ci_tool,local_cache,remote_cache,use_parallelization
scobal_seyren,travis_ci,False,False,False
stephanenicolas_boundbox,travis_ci,False,False,False
mmolimar_kafka-connect-fs,travis_ci,False,False,False
psambit9791_jdsp,travis_ci,False,False,False
alibaba_spring-context-support,travis_ci,False,False,False
stanford-futuredata_macrobase,travis_ci,False,False,False
JitseB_NPCLib,travis_ci,True,False,False
vdenotaris_spring-boot-security-saml-sample,travis_ci,False,False,False
mybatis_ehcache-cache,github_actions,False,False,False
wangweiX_blockchain-java,travis_ci,False,False,False
glorne_springboot-ddd-demo,travis_ci,False,False,False
AxonIQ_axon-quick-start,github_actions,True,False,False
iotaledger_iota-java,travis_ci,True,False,False
AbsaOSS_ABRiS,github_actions,False,False,False
AbsaOSS_ABRiS,github_actions,True,False,False
ChargeTimeEU_Java-OCA-OCPP,github_actions,True,False,False
ChargeTimeEU_Java-OCA-OCPP,github_actions,False,False,False
ChargeTimeEU_Java-OCA-OCPP,travis_ci,False,False,False
argparse4j_argparse4j,travis_ci,True,False,False
melin_super-diamond,travis_ci,False,False,False
jhunters_jprotobuf,travis_ci,True,False,False
ngs-doo_dsl-json,travis_ci,False,False,False
okta_samples-java-spring,circle_ci,False,False,False
okta_samples-java-spring,travis_ci,False,False,False
fizzed_rocker,github_actions,True,False,False
fusesource_jansi,github_actions,True,False,False
RediSearch_JRediSearch,github_actions,False,False,False
RediSearch_JRediSearch,circle_ci,False,False,False
tkaczmarzyk_specification-arg-resolver,github_actions,True,False,False
tkaczmarzyk_specification-arg-resolver,github_actions,False,False,False
tkaczmarzyk_specification-arg-resolver,travis_ci,False,False,False
mp911de_logstash-gelf,github_actions,False,False,False
mp911de_logstash-gelf,github_actions,True,False,False
mp911de_logstash-gelf,travis_ci,True,False,False
netopyr_reduxfx,travis_ci,True,False,False
javamonkey_beetl2.0,travis_ci,False,False,False
rayokota_kcache,github_actions,False,False,False
FasterXML_java-classmate,travis_ci,True,False,False
spring-projects_spring-data-examples,travis_ci,True,False,False
brettwooldridge_SansOrm,travis_ci,True,False,False
makersoft_mybatis-shards,travis_ci,False,False,False
IoT-Technology_IoT-Toolkit,github_actions,True,False,False
apache_bahir-flink,github_actions,True,False,False
jmurty_java-xmlbuilder,github_actions,False,False,False
dlsc-software-consulting-gmbh_CalendarFX,github_actions,True,False,False
dlsc-software-consulting-gmbh_CalendarFX,github_actions,False,False,False
blobcity_db,travis_ci,False,False,False
ezylang_EvalEx,github_actions,True,False,False
Yiuman_citrus,github_actions,True,False,False
DevLeoko_AdvancedBan,github_actions,False,False,False
kakawait_cas-security-spring-boot-starter,travis_ci,True,False,False
hellokaton_anima,travis_ci,False,False,False
tr7zw_Item-NBT-API,github_actions,False,False,False
google_compile-testing,github_actions,True,False,False
DaspawnW_vault-crd,github_actions,True,False,False
nuroko_nurokit,travis_ci,False,False,False
dromara_dante-cloud,travis_ci,False,False,False
Devskiller_friendly-id,github_actions,False,False,False
Devskiller_friendly-id,circle_ci,False,False,False
Devskiller_friendly-id,travis_ci,True,False,False
palatable_lambda,github_actions,False,False,False
kevinsawicki_http-request,travis_ci,False,False,False
cheese10yun_spring-jpa-best-practices,travis_ci,False,False,False
twitter_twitter-korean-text,travis_ci,False,False,False
FasterXML_jackson-datatype-hibernate,github_actions,True,False,False
flowerfine_scaleph,github_actions,True,False,True
flowerfine_scaleph,github_actions,True,False,False
jfree_jfreesvg,github_actions,False,False,False
roskenet_springboot-javafx-support,travis_ci,False,False,False
tools4j_unix4j,travis_ci,False,False,False
mikaelgrev_miglayout,github_actions,True,False,False
aragozin_jvm-tools,github_actions,False,False,False
aragozin_jvm-tools,travis_ci,False,False,False
JosePaumard_streams-utils,travis_ci,False,False,False
facebook_ktfmt,github_actions,False,False,False
Azure_azure-event-hubs-spark,travis_ci,False,False,False
