project,ci_tool,local_cache,remote_cache,use_parallelization
google_crubit,buildkite,False,True,True
bazelbuild_vscode-bazel,buildkite,False,True,True
buchgr_bazel-remote,buildkite,False,True,True
protocolbuffers_upb,buildkite,False,True,True
bazelbuild_bazel-toolchains,buildkite,False,True,True
bazelbuild_rules_foreign_cc,buildkite,False,True,True
bazelbuild_rules_kotlin,buildkite,False,True,True
grpc_grpc,buildkite,False,True,True
bazelbuild_bazel-buildfarm,buildkite,False,True,True
bazelbuild_bazel-skylib,buildkite,False,True,True
bazelbuild_rules_swift,buildkite,False,True,True
bazelbuild_rules_pkg,buildkite,False,True,True
google_glog,buildkite,False,True,True
bazelbuild_rules_nodejs,buildkite,False,True,True
bazelbuild_rules_docker,buildkite,False,True,True
bazelbuild_rules_rust,buildkite,False,True,True
bazelbuild_rules_cc,buildkite,False,True,True
kythe_kythe,buildkite,False,True,True
bazelbuild_rules_python,buildkite,False,True,True
tweag_rules_haskell,buildkite,False,True,True
bazelbuild_rules_jvm_external,buildkite,False,True,True
google_cargo-raze,buildkite,False,True,True
bazelbuild_rules_go,buildkite,False,True,True
bazelbuild_intellij,buildkite,False,True,True
bazelbuild_tulsi,buildkite,False,True,True
bazelbuild_rules_dotnet,buildkite,False,True,True
stackb_rules_proto,buildkite,False,True,True
bazelbuild_bazel-gazelle,buildkite,False,True,True
nelhage_rules_boost,buildkite,False,True,True
envoyproxy_envoy,buildkite,False,True,True
googleapis_google-cloud-cpp,buildkite,False,True,True
bazelbuild_rules_apple,buildkite,False,True,True
bazelbuild_bazel-watcher,buildkite,False,True,True
