project,ci_tool,local_cache,remote_cache,use_parallelization
orphan-oss_ognl,github_actions,False,False,False
eclipse_dirigible,github_actions,False,False,False
eclipse_dirigible,github_actions,False,False,True
CertifaiAI_classifai,github_actions,False,False,False
ICIJ_extract,circle_ci,False,False,False
eclipse-tycho_tycho,github_actions,False,False,False
graphstream_gs-core,travis_ci,True,False,False
akkinoc_logback-access-spring-boot-starter,github_actions,True,False,False
Atmosphere_atmosphere-javascript,github_actions,False,False,False
castlemock_castlemock,github_actions,False,False,False
eclipse_vorto,travis_ci,False,False,False
google_libphonenumber,github_actions,False,False,False
SANSA-Stack_SANSA-Stack,github_actions,False,False,False
platonai_pulsarR,github_actions,False,False,False
viritin_viritin,travis_ci,False,False,False
karatelabs_karate,github_actions,False,False,False
pagehelper_Mybatis-PageHelper,github_actions,False,False,False
HXSecurity_DongTai-agent-java,github_actions,False,False,False
geotools_geotools,github_actions,False,False,False
awslabs_aws-serverless-java-container,github_actions,False,False,False
OCR4all_LAREX,github_actions,False,False,False
spotify-web-api-java_spotify-web-api-java,github_actions,True,False,False
unipop-graph_unipop,travis_ci,False,False,False
maven-nar_nar-maven-plugin,travis_ci,True,False,False
pgcodekeeper_pgcodekeeper,github_actions,False,False,False
hs-web_hsweb-easy-orm,github_actions,True,False,False
spring-projects_spring-data-examples,travis_ci,True,False,False
vert-x3_vertx-rx,github_actions,False,False,False
jan-molak_jenkins-build-monitor-plugin,github_actions,True,False,False
OSBI_saiku,circle_ci,False,False,False
resty-gwt_resty-gwt,travis_ci,False,False,False
PetteriM1_NukkitPetteriM1Edition,github_actions,False,False,False
haraldk_TwelveMonkeys,github_actions,True,False,False
haraldk_TwelveMonkeys,github_actions,False,False,False
YunaiV_yudao-cloud,github_actions,True,False,False
MobiVM_robovm,github_actions,False,False,False
wso2_product-microgateway,github_actions,False,False,False
wso2_product-microgateway,travis_ci,True,False,False
jcabi_jcabi-github,github_actions,False,False,False
antlr_antlr3,github_actions,False,False,False
G-Research_siembol,github_actions,False,False,False
palatable_lambda,github_actions,False,False,False
cucumber_cucumber-eclipse,github_actions,True,False,False
techa03_goodsKill,github_actions,True,False,False
flowerfine_scaleph,github_actions,True,False,True
flowerfine_scaleph,github_actions,True,False,False
hub4j_github-api,github_actions,True,False,False
niumoo_bing-wallpaper,github_actions,False,False,False
AKSW_RDFUnit,travis_ci,True,False,False
HubSpot_slack-client,github_actions,False,False,False
HubSpot_slack-client,travis_ci,True,False,False
git-commit-id_git-commit-id-maven-plugin,github_actions,False,False,False
apache_commons-math,github_actions,True,False,False
ballcat-projects_ballcat,github_actions,True,False,False
strongbox_strongbox,travis_ci,False,False,True
NetEase_arctic,github_actions,True,False,False
bytedeco_javacpp-presets,github_actions,False,False,False
bytedeco_javacpp-presets,travis_ci,True,False,False
verdict-project_verdict,circle_ci,False,False,False
ClouGence_hasor,travis_ci,False,False,False
OreosLab_bili,github_actions,False,False,False
chocoteam_choco-solver,github_actions,True,False,False
chocoteam_choco-solver,github_actions,False,False,False
chocoteam_choco-solver,travis_ci,True,False,False
sokomishalov_skraper,github_actions,False,False,False
geosolutions-it_MapStore2,github_actions,False,False,False
geosolutions-it_MapStore2,travis_ci,False,False,False
opencypher_openCypher,github_actions,False,False,False
