project,ci_tool,invoker
jruby_jruby,github_actions,shell
rapidoid_rapidoid,github_actions,ci
rapidoid_rapidoid,travis_ci,ci
groupon_DotCi,travis_ci,ci
wildfly_wildfly-core,github_actions,ci
Multibit-Legacy_multibit,travis_ci,ci
graphhopper_graphhopper,github_actions,ci
CloudburstMC_Nukkit,github_actions,ci
CloudburstMC_Nukkit,travis_ci,ci
lmdbjava_lmdbjava,github_actions,ci
mikera_vectorz-clj,travis_ci,ci
games647_FastLogin,github_actions,ci
spring-cloud_spring-cloud-release,circle_ci,ci
aicis_fresco,github_actions,ci
aicis_fresco,travis_ci,ci
senbox-org_snap-desktop,travis_ci,ci
GoogleCloudPlatform_spring-cloud-gcp,github_actions,ci
GoogleCloudPlatform_spring-cloud-gcp,github_actions,shell
belaban_JGroups,github_actions,ci
lbalazscs_Pixelitor,github_actions,ci
jeremylong_DependencyCheck,github_actions,ci
jeremylong_DependencyCheck,github_actions,shell
WeBankFinTech_Exchangis,github_actions,ci
lukas-krecan_ShedLock,github_actions,ci
deeplearning4j_deeplearning4j,github_actions,ci
deeplearning4j_deeplearning4j,github_actions,shell
adobe_S3Mock,github_actions,ci
ron190_jsql-injection,github_actions,ci
ron190_jsql-injection,travis_ci,ci
HdrHistogram_HdrHistogram,github_actions,ci
HdrHistogram_HdrHistogram,travis_ci,ci
siom79_japicmp,github_actions,ci
siom79_japicmp,travis_ci,ci
code4craft_webmagic,travis_ci,ci
jenkinsci_jenkinsfile-runner,github_actions,ci
eclipse_dirigible,github_actions,ci
HarvardPL_formulog,travis_ci,ci
cbeust_testng-eclipse,github_actions,ci
cbeust_testng-eclipse,travis_ci,ci
arnaudroger_SimpleFlatMapper,travis_ci,ci
eclipse_hawkbit,circle_ci,ci
eclipse_hawkbit,circle_ci,shell
CertifaiAI_classifai,github_actions,ci
junit-team_junit4,github_actions,ci
teiid_teiid,travis_ci,ci
ocpsoft_rewrite,github_actions,ci
apache_incubator-baremaps,github_actions,ci
fengjiachun_Jupiter,travis_ci,ci
pivovarit_parallel-collectors,github_actions,ci
junkdog_artemis-odb,github_actions,ci
javamelody_javamelody,travis_ci,ci
MarginallyClever_Robot-Overlord-App,github_actions,ci
dromara_hutool,travis_ci,ci
nroduit_Weasis,github_actions,ci
nativelibs4java_nativelibs4java,travis_ci,ci
goldmansachs_jdmn,github_actions,ci
ehrbase_ehrbase,github_actions,ci
ehrbase_ehrbase,circle_ci,ci
PlaytikaOSS_testcontainers-spring-boot,github_actions,ci
RyanSusana_elepy,github_actions,ci
wso2_micro-integrator,github_actions,ci
wso2_micro-integrator,travis_ci,ci
platonai_pulsarR,github_actions,ci
viritin_viritin,travis_ci,ci
jfree_jfreechart,github_actions,ci
apache_incubator-seatunnel,github_actions,shell
apache_incubator-seatunnel,github_actions,ci
apache_httpcomponents-core,github_actions,ci
karatelabs_karate,github_actions,ci
karatelabs_karate,github_actions,shell
apache_commons-bcel,github_actions,ci
AddstarMC_Prism-Bukkit,github_actions,ci
radanalyticsio_spark-operator,travis_ci,make
eclipse-ee4j_eclipselink,github_actions,ci
intuit_wasabi,travis_ci,ci
eclipse_org.aspectj,github_actions,ci
spring-cloud_spring-cloud-commons,github_actions,ci
spring-cloud_spring-cloud-commons,circle_ci,ci
OpticFusion1_MCAntiMalware,github_actions,ci
mikera_core.matrix,travis_ci,ci
smallrye_smallrye-mutiny,github_actions,ci
smallrye_smallrye-mutiny,github_actions,shell
unipop-graph_unipop,travis_ci,ci
nutzam_nutzmore,github_actions,ci
nutzam_nutzmore,circle_ci,ci
nutzam_nutzmore,travis_ci,ci
Apicurio_apicurio-registry,github_actions,make
Apicurio_apicurio-registry,github_actions,ci
JodaOrg_joda-beans,github_actions,ci
apache_flink-statefun,github_actions,ci
dddplus_dddplus,github_actions,ci
jakartaee_cdi,github_actions,ci
alexo_wro4j,travis_ci,ci
marschall_memoryfilesystem,travis_ci,ci
doanduyhai_Achilles,travis_ci,ci
gravitee-io_gravitee-api-management,circle_ci,ci
jsonld-java_jsonld-java,travis_ci,ci
OneBusAway_onebusaway-gtfs-modules,github_actions,ci
OneBusAway_onebusaway-gtfs-modules,travis_ci,ci
wso2_product-microgateway,github_actions,ci
wso2_product-microgateway,github_actions,shell
wso2_product-microgateway,travis_ci,ci
jitsi_jitsi-meet-torture,github_actions,ci
IQSS_dataverse,github_actions,ci
FraunhoferIOSB_FROST-Server,github_actions,ci
spring-cloud_stream-applications,github_actions,shell
spring-cloud_stream-applications,github_actions,ci
eclipse_birt,github_actions,ci
basho_riak-java-client,travis_ci,make
basho_riak-java-client,travis_ci,ci
talsma-ict_umldoclet,github_actions,ci
zalando_opentracing-toolbox,github_actions,ci
GluuFederation_oxAuth,github_actions,ci
la-team_light-admin,travis_ci,ci
apache_struts-examples,github_actions,ci
fcrepo_fcrepo,github_actions,ci
OpenAPITools_openapi-generator,github_actions,ci
OpenAPITools_openapi-generator,github_actions,shell
OpenAPITools_openapi-generator,circle_ci,ci
OpenAPITools_openapi-generator,circle_ci,shell
OpenAPITools_openapi-generator,travis_ci,ci
alibaba_spring-cloud-alibaba,github_actions,ci
alibaba_spring-cloud-alibaba,circle_ci,ci
soot-oss_soot,github_actions,ci
apache_drill,github_actions,ci
yammer_tenacity,travis_ci,ci
caprica_vlcj,github_actions,ci
eclipse_jkube,github_actions,ci
eclipse_jkube,github_actions,shell
eclipse_jkube,circle_ci,ci
eclipse_jkube,circle_ci,shell
jtulach_bck2brwsr,travis_ci,ci
threerings_getdown,travis_ci,ci
apache_systemds,github_actions,ci
apache_systemds,github_actions,shell
citiususc_hipster,github_actions,ci
YunaiV_ruoyi-vue-pro,github_actions,ci
spullara_mustache.java,travis_ci,ci
tinkerpop_rexster,travis_ci,ci
SAP_cloud-security-xsuaa-integration,github_actions,ci
Sloeber_arduino-eclipse-plugin,github_actions,ci
Nodeclipse_nodeclipse,travis_ci,ci
apache_nifi,github_actions,ci
cmu-db_benchbase,github_actions,ci
forge_roaster,github_actions,ci
verdict-project_verdict,circle_ci,ci
verdict-project_verdict,circle_ci,shell
verdict-project_verdict,travis_ci,ci
davidmoten_rxjava2-extras,github_actions,ci
manifold-systems_manifold,circle_ci,ci
liaochong_myexcel,github_actions,ci
liaochong_myexcel,travis_ci,ci
geosolutions-it_MapStore2,github_actions,ci
geosolutions-it_MapStore2,travis_ci,ci
FasterXML_jackson-jaxrs-providers,github_actions,ci
FasterXML_jackson-jaxrs-providers,travis_ci,ci
google_error-prone,github_actions,ci
google_error-prone,github_actions,shell
iipc_openwayback,travis_ci,ci
opencypher_openCypher,github_actions,ci
opencypher_openCypher,github_actions,shell
Frameworkium_frameworkium-core,github_actions,ci
jashkenas_ruby-processing,travis_ci,rake
jenkinsci_workflow-cps-plugin,github_actions,ci
wilkerlucio_pathom3,github_actions,bbuild
eclipsesource_J2V8,github_actions,python
openzipkin_brave,github_actions,shell
Pi4J_pi4j-v1,github_actions,docker
tada_pljava,travis_ci,ci
jenkinsci_kubernetes-plugin,github_actions,ci
apache_deltaspike,travis_ci,shell
kiegroup_droolsjbpm-build-bootstrap,github_actions,ci
Erudika_para,github_actions,docker
OpenNMS_opennms,circle_ci,shell
sarl_sarl,travis_ci,shell
