project,subcommand,elapsed_time,critical_path,parallelism,target,commits
google_allocation-instrumenter,build,130.85,68.54,2,//:all,121.0
google_allocation-instrumenter,build,108.407,56.03,2,//:all,121.0
google_allocation-instrumenter,build,108.958,62.58,2,//:all,121.0
google_allocation-instrumenter,build,174.204,92.48,2,//:all,121.0
google_allocation-instrumenter,build,146.993,62.94,2,//:all,121.0
google_allocation-instrumenter,build,114.287,60.02,2,//:all,121.0
google_allocation-instrumenter,build,110.189,60.46,2,//:all,121.0
google_cctz,build,181.233,111.99,1,//:all,500.0
google_cctz,build,181.679,112.0,1,//:all,500.0
google_cctz,build,262.675,190.4,1,//:all,500.0
google_cctz,build,266.49,193.57,1,//:all,500.0
google_cctz,build,197.213,108.86,1,//:all,500.0
google_cctz,build,196.533,116.19,1,//:all,500.0
google_cctz,build,181.304,115.38,1,//:all,500.0
google_cctz,build,176.76,112.13,1,//:all,500.0
google_cctz,build,198.503,119.43,1,//:all,500.0
google_cctz,build,220.238,123.07,1,//:all,500.0
google_cctz,build,143.287,88.95,2,//:all,500.0
google_cctz,build,85.277,56.47,2,//:all,500.0
google_cctz,build,113.371,55.94,2,//:all,500.0
google_cctz,build,113.535,58.39,2,//:all,500.0
google_cctz,build,98.887,51.71,2,//:all,500.0
google_cctz,build,80.699,52.8,2,//:all,500.0
google_cctz,build,110.818,80.28,2,//:all,500.0
google_cctz,build,125.747,71.91,2,//:all,500.0
google_cctz,build,88.302,55.52,2,//:all,500.0
google_cctz,build,143.461,66.85,2,//:all,500.0
google_chrome-ssh-agent,build,750.777,463.69,1,//:all,359.0
google_chrome-ssh-agent,build,772.114,469.74,1,//:all,359.0
google_chrome-ssh-agent,build,710.321,444.07,1,//:all,359.0
google_chrome-ssh-agent,build,935.624,391.9,1,//:all,359.0
google_chrome-ssh-agent,build,710.107,450.19,1,//:all,359.0
google_chrome-ssh-agent,build,724.667,379.79,1,//:all,359.0
google_chrome-ssh-agent,build,711.641,442.55,1,//:all,359.0
google_chrome-ssh-agent,build,766.953,378.4,1,//:all,359.0
google_chrome-ssh-agent,build,720.625,444.85,1,//:all,359.0
