project,ci_tool,invoker
ChargeTimeEU_Java-OCA-OCPP,travis_ci,ci
argparse4j_argparse4j,travis_ci,ci
melin_super-diamond,travis_ci,ci
jhunters_jprotobuf,travis_ci,ci
ngs-doo_dsl-json,travis_ci,ci
okta_samples-java-spring,circle_ci,ci
okta_samples-java-spring,travis_ci,ci
fizzed_rocker,github_actions,ci
fusesource_jansi,github_actions,ci
RediSearch_JRediSearch,github_actions,ci
RediSearch_JRediSearch,circle_ci,ci
tkaczmarzyk_specification-arg-resolver,github_actions,ci
tkaczmarzyk_specification-arg-resolver,travis_ci,ci
mp911de_logstash-gelf,github_actions,ci
mp911de_logstash-gelf,travis_ci,make
netopyr_reduxfx,travis_ci,ci
javamonkey_beetl2.0,travis_ci,ci
rayokota_kcache,github_actions,ci
FasterXML_java-classmate,travis_ci,ci
spring-projects_spring-data-examples,travis_ci,ci
brettwooldridge_SansOrm,travis_ci,ci
makersoft_mybatis-shards,travis_ci,ci
IoT-Technology_IoT-Toolkit,github_actions,ci
apache_bahir-flink,github_actions,ci
jmurty_java-xmlbuilder,github_actions,ci
dlsc-software-consulting-gmbh_CalendarFX,github_actions,ci
blobcity_db,travis_ci,ci
ezylang_EvalEx,github_actions,ci
Yiuman_citrus,github_actions,ci
DevLeoko_AdvancedBan,github_actions,ci
kakawait_cas-security-spring-boot-starter,travis_ci,ci
hellokaton_anima,travis_ci,ci
tr7zw_Item-NBT-API,github_actions,ci
google_compile-testing,github_actions,ci
DaspawnW_vault-crd,github_actions,ci
nuroko_nurokit,travis_ci,ci
dromara_dante-cloud,travis_ci,ci
Devskiller_friendly-id,github_actions,ci
Devskiller_friendly-id,circle_ci,ci
Devskiller_friendly-id,travis_ci,ci
palatable_lambda,github_actions,ci
kevinsawicki_http-request,travis_ci,ci
cheese10yun_spring-jpa-best-practices,travis_ci,ci
twitter_twitter-korean-text,travis_ci,ci
FasterXML_jackson-datatype-hibernate,github_actions,ci
flowerfine_scaleph,github_actions,ci
jfree_jfreesvg,github_actions,ci
roskenet_springboot-javafx-support,travis_ci,ci
tools4j_unix4j,travis_ci,ci
mikaelgrev_miglayout,github_actions,ci
aragozin_jvm-tools,github_actions,ci
aragozin_jvm-tools,travis_ci,ci
JosePaumard_streams-utils,travis_ci,ci
facebook_ktfmt,github_actions,ci
Azure_azure-event-hubs-spark,travis_ci,shell
qtc-de_beanshooter,github_actions,ci
SourceLabOrg_kafka-webview,github_actions,ci
RUB-NDS_WS-Attacker,travis_ci,ci
thiagolocatelli_parse4j,travis_ci,ci
dtprj_dongting,github_actions,ci
1C-Company_v8-code-style,github_actions,ci
ExpediaGroup_styx,travis_ci,ci
ExpediaGroup_styx,travis_ci,shell
alexkvak_teamcity-slack,travis_ci,ci
tipsy_j2html,github_actions,ci
baomidou_mybatis-plus-samples,travis_ci,ci
apache_incubator-celeborn,github_actions,ci
julianhyde_linq4j,travis_ci,ci
java-diff-utils_java-diff-utils,github_actions,ci
java-diff-utils_java-diff-utils,travis_ci,ci
fusesource_hawtjni,travis_ci,ci
datumbox_datumbox-framework,travis_ci,ci
zhaojun1998_Shiro-Action,travis_ci,ci
gtiwari333_spring-boot-web-application-sample,github_actions,ci
danielflower_multi-module-maven-release-plugin,github_actions,ci
lyogavin_Pistachio,travis_ci,ci
Byron4j_CookBook,travis_ci,ci
dromara_raincat,travis_ci,ci
spoofzu_DeepViolet,travis_ci,ci
spoofzu_DeepViolet,travis_ci,shell
tushartushar_DesigniteJava,github_actions,ci
nipafx_demo-java-x,github_actions,ci
mikera_imagez,travis_ci,ci
mojohaus_exec-maven-plugin,github_actions,ci
simpligility_maven-repository-tools,github_actions,ci
checkstyle_sonar-checkstyle,travis_ci,shell
Pi4J_pi4j-v2,github_actions,docker
baidu_brcc,travis_ci,ci
jenkinsci_hashicorp-vault-plugin,github_actions,ci
jenkinsci_ansible-plugin,github_actions,ci
jenkinsci_embeddable-build-status-plugin,github_actions,ci
openzipkin_zipkin-reporter-java,github_actions,ci
bpodgursky_jbool_expressions,github_actions,shell
