project,ci_tool,invoker
yahoo_egads,travis_ci,ci
SeleniumHQ_htmlunit-driver,travis_ci,ci
Wolfsblvt_BlossomsPokemonGoManager,travis_ci,ci
vaadin_hilla,github_actions,ci
jiayaoO3O_18-comic-finder,github_actions,ci
petitparser_java-petitparser,github_actions,ci
jonashackt_spring-boot-graalvm,github_actions,ci
open-pdf-sign_open-pdf-sign,github_actions,ci
dhorions_boxable,travis_ci,ci
mariazevedo88_travels-java-api,travis_ci,ci
Pragmatists_JUnitParams,travis_ci,ci
BenHerbst_idaesbasic,github_actions,ci
gnuhpc_Kafka-zk-restapi,travis_ci,ci
rchodava_datamill,travis_ci,ci
vincentrussell_sql-to-mongo-db-query-converter,github_actions,ci
vincentrussell_sql-to-mongo-db-query-converter,travis_ci,ci
wrandelshofer_FastDoubleParser,github_actions,ci
apache_distributedlog,travis_ci,ci
michael-simons_biking2,github_actions,ci
lyft_presto-gateway,github_actions,ci
ef-labs_vertx-jersey,travis_ci,ci
chucheng92_TinyMooc,github_actions,ci
BUAA-BDA_OpenHuFu,github_actions,shell
j256_ormlite-android,circle_ci,ci
dschulten_hydra-java,travis_ci,ci
warmuuh_milkman,github_actions,ci
osiegmar_FastCSV,github_actions,ci
debezium_debezium-ui,github_actions,ci
dain_leveldb,travis_ci,ci
spring-cloud_spring-cloud-deployer-kubernetes,github_actions,ci
sejda-pdf_webp-imageio,travis_ci,ci
rayokota_hgraphdb,github_actions,ci
jpmml_jpmml-lightgbm,github_actions,ci
greengerong_prerender-java,travis_ci,ci
FasterXML_jackson-dataformats-text,github_actions,ci
FasterXML_jackson-dataformats-text,travis_ci,ci
apache_parquet-format,github_actions,ci
shzlw_poli,travis_ci,ci
a-schild_jave2,github_actions,ci
rrd4j_rrd4j,circle_ci,ci
Nepxion_Matrix,github_actions,ci
frohoff_ysoserial,github_actions,ci
frohoff_ysoserial,travis_ci,ci
Graylog2_graylog-plugin-threatintel,travis_ci,ci
magese_ik-analyzer-solr,travis_ci,ci
mttkay_signpost,github_actions,ci
rterp_SumZeroTrading,travis_ci,ci
raydac_mvn-golang,github_actions,ci
spring-projects-experimental_spring-modulith,github_actions,ci
OpenAS2_OpenAs2App,github_actions,ci
OpenAS2_OpenAs2App,travis_ci,ci
super-csv_super-csv,travis_ci,ci
ProxioDev_RedisBungee,github_actions,ci
dependency-check_dependency-check-sonar-plugin,github_actions,ci
apache_flink-benchmarks,github_actions,ci
trol73_mucommander,travis_ci,ci
MGunlogson_CuckooFilter4J,travis_ci,ci
zhoumengkang_netty-restful-server,travis_ci,ci
qiujiayu_AutoLoadCache,travis_ci,ci
RedisLabs_spark-redis,github_actions,ci
RedisLabs_spark-redis,circle_ci,ci
RedisLabs_spark-redis,circle_ci,make
modelmapper_modelmapper,github_actions,ci
fujieid_jap,github_actions,ci
fujieid_jap,travis_ci,ci
bobcarroll_jira-client,travis_ci,ci
andytill_erlyberly,travis_ci,ci
Fadelis_grpcmock,github_actions,ci
AppsFlyer_donkey,github_actions,shell
frost373_KitDB,github_actions,ci
jmc2obj_j-mc-2-obj,github_actions,ci
alexa_alexa-skills-kit-sdk-for-java,github_actions,ci
alexa_alexa-skills-kit-sdk-for-java,travis_ci,ci
tencentyun_cos-java-sdk-v5,travis_ci,ci
xuxueli_xxl-mq,travis_ci,ci
MaxPixelStudios_MinecraftDecompiler,github_actions,ci
Simplix-Softworks_SimplixStorage,github_actions,ci
spotify_dns-java,travis_ci,ci
serenity-bdd_serenity-cucumber-starter,github_actions,ci
saturnism_grpc-by-example-java,github_actions,ci
Sable_heros,github_actions,ci
twitter_hadoop-lzo,travis_ci,ci
kiegroup_optaplanner-quickstarts,github_actions,ci
poetix_protonpack,travis_ci,ci
apache_flink-kubernetes-operator,github_actions,shell
apache_flink-kubernetes-operator,github_actions,ci
rodrigorodrigues_microservices-design-patterns,github_actions,ci
rodrigorodrigues_microservices-design-patterns,travis_ci,ci
bastillion-io_Bastillion,github_actions,ci
tdebatty_java-string-similarity,github_actions,ci
tdebatty_java-string-similarity,travis_ci,ci
jetlinks_rule-engine,travis_ci,ci
pac4j_spring-webmvc-pac4j,github_actions,ci
ulisesbocchio_spring-boot-security-saml,travis_ci,ci
radkovo_Pdf2Dom,travis_ci,ci
radkovo_Pdf2Dom,travis_ci,shell
insideapp-oss_sonar-flutter,github_actions,ci
blinkfox_zealot,travis_ci,ci
TheHolyWaffle_TeamSpeak-3-Java-API,github_actions,ci
TheHolyWaffle_TeamSpeak-3-Java-API,travis_ci,ci
dancancro_great-big-example-application,travis_ci,ci
samdjstevens_java-totp,circle_ci,ci
jreijn_spring-comparing-template-engines,github_actions,ci
jreijn_spring-comparing-template-engines,travis_ci,ci
Blazemeter_jmeter-bzm-plugins,travis_ci,ci
RankSys_RankSys,travis_ci,ci
checkstyle_sonar-checkstyle,github_actions,ci
checkstyle_sonar-checkstyle,github_actions,shell
checkstyle_sonar-checkstyle,circle_ci,ci
hammock-project_hammock,travis_ci,ci
trekawek_coffee-gb,travis_ci,ci
vesoft-inc_nebula-java,github_actions,ci
vesoft-inc_nebula-java,travis_ci,ci
Tillerino_Tillerinobot,github_actions,ci
rouzwawi_grpc-kotlin,circle_ci,ci
jdereg_java-util,github_actions,ci
jdereg_java-util,travis_ci,ci
daniel-frak_keycloak-user-migration,github_actions,ci
wechaty_java-wechaty,github_actions,ci
reficio_p2-maven-plugin,github_actions,ci
github_maven-plugins,travis_ci,ci
scobal_seyren,travis_ci,ci
stephanenicolas_boundbox,travis_ci,ci
mmolimar_kafka-connect-fs,travis_ci,ci
psambit9791_jdsp,travis_ci,ci
alibaba_spring-context-support,travis_ci,ci
stanford-futuredata_macrobase,travis_ci,ci
JitseB_NPCLib,travis_ci,ci
vdenotaris_spring-boot-security-saml-sample,travis_ci,ci
mybatis_ehcache-cache,github_actions,ci
wangweiX_blockchain-java,travis_ci,ci
glorne_springboot-ddd-demo,travis_ci,ci
AxonIQ_axon-quick-start,github_actions,ci
iotaledger_iota-java,travis_ci,shell
iotaledger_iota-java,travis_ci,ci
AbsaOSS_ABRiS,github_actions,ci
ChargeTimeEU_Java-OCA-OCPP,github_actions,ci
