project,build_tool,name,category
myrrix_myrrix-recommender,maven,org.apache.maven.plugins:maven-antrun-plugin,native
myrrix_myrrix-recommender,maven,org.codehaus.mojo:build-helper-maven-plugin,external
myrrix_myrrix-recommender,maven,org.apache.maven.plugins:maven-shade-plugin,native
eirslett_frontend-maven-plugin,maven,org.apache.maven.plugins:maven-release-plugin,native
eirslett_frontend-maven-plugin,maven,org.apache.maven.plugins:maven-deploy-plugin,native
eirslett_frontend-maven-plugin,maven,org.sonatype.plugins:nexus-staging-maven-plugin,external
eirslett_frontend-maven-plugin,maven,org.apache.maven.plugins:maven-plugin-plugin,native
eirslett_frontend-maven-plugin,maven,org.apache.maven.plugins:maven-source-plugin,native
eirslett_frontend-maven-plugin,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
eirslett_frontend-maven-plugin,maven,com.github.eirslett:frontend-maven-plugin,custom
eirslett_frontend-maven-plugin,maven,com.github.eirslett:frontend-maven-plugin,custom
eirslett_frontend-maven-plugin,maven,com.github.eirslett:frontend-maven-plugin,custom
eirslett_frontend-maven-plugin,maven,com.github.eirslett:frontend-maven-plugin,custom
eirslett_frontend-maven-plugin,maven,com.github.eirslett:frontend-maven-plugin,custom
eirslett_frontend-maven-plugin,maven,com.github.eirslett:frontend-maven-plugin,custom
eirslett_frontend-maven-plugin,maven,com.github.eirslett:frontend-maven-plugin,custom
eirslett_frontend-maven-plugin,maven,org.apache.maven.plugins:maven-source-plugin,native
eirslett_frontend-maven-plugin,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
ta4j_ta4j,maven,org.apache.maven.plugins:maven-compiler-plugin,native
ta4j_ta4j,maven,org.apache.maven.plugins:maven-source-plugin,native
ta4j_ta4j,maven,com.mycila:license-maven-plugin,external
ta4j_ta4j,maven,net.revelc.code.formatter:formatter-maven-plugin,external
ta4j_ta4j,maven,org.apache.maven.plugins:maven-release-plugin,native
ta4j_ta4j,maven,org.apache.maven.plugins:maven-jar-plugin,native
ta4j_ta4j,maven,biz.aQute.bnd:bnd-maven-plugin,external
orphan-oss_launch4j-maven-plugin,maven,org.apache.maven.plugins:maven-plugin-plugin,native
orphan-oss_launch4j-maven-plugin,maven,org.apache.maven.plugins:maven-site-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-jar-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-shade-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-surefire-plugin,native
JCTools_JCTools,maven,org.apache.felix:maven-bundle-plugin,external
JCTools_JCTools,maven,org.apache.maven.plugins:maven-source-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-jar-plugin,native
JCTools_JCTools,maven,org.codehaus.mojo:exec-maven-plugin,external
JCTools_JCTools,maven,org.eluder.coveralls:coveralls-maven-plugin,external
JCTools_JCTools,maven,org.jacoco:jacoco-maven-plugin,external
JCTools_JCTools,maven,org.apache.maven.plugins:maven-jar-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-enforcer-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-compiler-plugin,native
JCTools_JCTools,maven,org.apache.maven.plugins:maven-shade-plugin,native
yermak_AudioBookConverter,maven,org.openjfx:javafx-maven-plugin,external
yermak_AudioBookConverter,maven,org.apache.maven.plugins:maven-compiler-plugin,native
yermak_AudioBookConverter,maven,org.apache.maven.plugins:maven-surefire-plugin,native
yermak_AudioBookConverter,maven,org.apache.maven.plugins:maven-jar-plugin,native
yermak_AudioBookConverter,maven,org.apache.maven.plugins:maven-assembly-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-surefire-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-source-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-gpg-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-assembly-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-resources-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-compiler-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-checkstyle-plugin,native
AppiumTestDistribution_AppiumTestDistribution,maven,org.jacoco:jacoco-maven-plugin,external
AppiumTestDistribution_AppiumTestDistribution,maven,org.apache.maven.plugins:maven-dependency-plugin,native
OfficialDonut_VisualBukkit,maven,org.apache.maven.plugins:maven-shade-plugin,native
OfficialDonut_VisualBukkit,maven,org.apache.maven.plugins:maven-shade-plugin,native
OfficialDonut_VisualBukkit,maven,org.apache.maven.plugins:maven-shade-plugin,native
davidmoten_rxjava2-jdbc,maven,org.jetbrains.kotlin:kotlin-maven-plugin,external
davidmoten_rxjava2-jdbc,maven,org.apache.maven.plugins:maven-jar-plugin,native
davidmoten_rxjava2-jdbc,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
davidmoten_rxjava2-jdbc,maven,org.jacoco:jacoco-maven-plugin,external
davidmoten_rxjava2-jdbc,maven,org.apache.maven.plugins:maven-jar-plugin,native
davidmoten_rxjava2-jdbc,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
davidmoten_rxjava2-jdbc,maven,org.jacoco:jacoco-maven-plugin,external
davidmoten_rxjava2-jdbc,maven,org.apache.maven.plugins:maven-dependency-plugin,native
apache_deltaspike,maven,org.asciidoctor:asciidoctor-maven-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-scm-publish-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-jar-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-assembly-plugin,native
apache_deltaspike,maven,org.apache.rat:apache-rat-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-compiler-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-deploy-plugin,native
apache_deltaspike,maven,org.wildfly.plugins:wildfly-maven-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-jar-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-antrun-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-checkstyle-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-compiler-plugin,native
apache_deltaspike,maven,org.apache.felix:maven-bundle-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-shade-plugin,native
apache_deltaspike,maven,org.apache.felix:maven-bundle-plugin,external
apache_deltaspike,maven,org.apache.felix:maven-bundle-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-resources-plugin,native
apache_deltaspike,maven,org.primefaces.extensions:resources-optimizer-maven-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-jar-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-resources-plugin,native
apache_deltaspike,maven,org.primefaces.extensions:resources-optimizer-maven-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-source-plugin,native
apache_deltaspike,maven,org.bsc.maven:maven-processor-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-deploy-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-dependency-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-dependency-plugin,native
apache_deltaspike,maven,org.apache.maven.plugins:maven-release-plugin,native
apache_deltaspike,maven,org.asciidoctor:asciidoctor-maven-plugin,external
apache_deltaspike,maven,org.apache.maven.plugins:maven-scm-publish-plugin,native
NLPchina_elasticsearch-sql,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
NLPchina_elasticsearch-sql,maven,org.apache.maven.plugins:maven-dependency-plugin,native
NLPchina_elasticsearch-sql,maven,org.apache.maven.plugins:maven-surefire-plugin,native
NLPchina_elasticsearch-sql,maven,org.apache.maven.plugins:maven-gpg-plugin,native
apache_commons-jexl,maven,org.apache.maven.plugins:maven-compiler-plugin,native
apache_commons-jexl,maven,org.apache.maven.plugins:maven-surefire-plugin,native
apache_commons-jexl,maven,com.helger.maven:ph-javacc-maven-plugin,external
apache_commons-jexl,maven,org.apache.maven.plugins:maven-jar-plugin,native
apache_commons-jexl,maven,org.jacoco:jacoco-maven-plugin,external
apache_commons-jexl,maven,org.apache.maven.plugins:maven-scm-publish-plugin,native
apache_commons-jexl,maven,org.apache.maven.plugins:maven-checkstyle-plugin,native
apache_commons-jexl,maven,com.github.spotbugs:spotbugs-maven-plugin,external
