project,subcommand,id,commit,cache_type,elapsed_time,critical_path,target,processes,cache_hit,status
bazel-diff,build,0,bd6d9022ef747a101866159b485ce1c35f69c081,local,235.276,None,//:all,None,0,failed
bazel-diff,build,0,bd6d9022ef747a101866159b485ce1c35f69c081,local,233.682,None,//:all,None,0,failed
bazel-diff,build,0,bd6d9022ef747a101866159b485ce1c35f69c081,local,234.875,None,//:all,None,0,failed
bazel-diff,build,0,bd6d9022ef747a101866159b485ce1c35f69c081,local,235.127,None,//:all,None,0,failed
bazel-diff,build,0,bd6d9022ef747a101866159b485ce1c35f69c081,local,235.25,None,//:all,None,0,failed
bazel-diff,build,1,61d534eca964e7e29a808984d222fa7c5e3bd1f1,local,None,None,//:all,None,0,failed
bazel-diff,build,1,61d534eca964e7e29a808984d222fa7c5e3bd1f1,local,265.662,None,//:all,None,0,failed
bazel-diff,build,2,be136eb216b69c43ca497e93228a00c4e0c798f7,local,276.168,None,//:all,None,0,failed
bazel-diff,build,1,61d534eca964e7e29a808984d222fa7c5e3bd1f1,local,283.041,None,//:all,None,0,failed
bazel-diff,build,1,61d534eca964e7e29a808984d222fa7c5e3bd1f1,local,281.143,None,//:all,None,0,failed
bazel-diff,build,1,61d534eca964e7e29a808984d222fa7c5e3bd1f1,local,275.886,None,//:all,None,0,failed
bazel-diff,build,2,be136eb216b69c43ca497e93228a00c4e0c798f7,local,378.468,None,//:all,None,0,failed
bazel-diff,build,3,902786196cee87567fb5040fa50115b9e3be4402,local,273.991,None,//:all,None,0,failed
bazel-diff,build,2,be136eb216b69c43ca497e93228a00c4e0c798f7,local,270.577,None,//:all,None,0,failed
bazel-diff,build,2,be136eb216b69c43ca497e93228a00c4e0c798f7,local,271.491,None,//:all,None,0,failed
bazel-diff,build,2,be136eb216b69c43ca497e93228a00c4e0c798f7,local,283.731,None,//:all,None,0,failed
bazel-diff,build,3,902786196cee87567fb5040fa50115b9e3be4402,local,251.714,None,//:all,None,0,failed
bazel-diff,build,3,902786196cee87567fb5040fa50115b9e3be4402,local,377.577,None,//:all,None,0,failed
bazel-diff,build,4,407ba7b4dba4e4af94e727c4f933cc9e66237e40,local,250.691,None,//:all,None,0,failed
bazel-diff,build,3,902786196cee87567fb5040fa50115b9e3be4402,local,248.263,None,//:all,None,0,failed
bazel-diff,build,3,902786196cee87567fb5040fa50115b9e3be4402,local,248.891,None,//:all,None,0,failed
bazel-diff,build,5,bf2a1ec5257727fa7b5a265916c503e7132b9482,local,275.552,None,//:all,None,0,failed
bazel-diff,build,4,407ba7b4dba4e4af94e727c4f933cc9e66237e40,local,278.701,None,//:all,None,0,failed
bazel-diff,build,4,407ba7b4dba4e4af94e727c4f933cc9e66237e40,local,280.49,None,//:all,None,0,failed
bazel-diff,build,4,407ba7b4dba4e4af94e727c4f933cc9e66237e40,local,281.073,None,//:all,None,0,failed
bazel-diff,build,4,407ba7b4dba4e4af94e727c4f933cc9e66237e40,local,278.966,None,//:all,None,0,failed
bazel-diff,build,6,7af2d2fbf5b316ef219304f81be451126dcd6e88,local,None,None,//:all,None,0,failed
bazel-diff,build,5,bf2a1ec5257727fa7b5a265916c503e7132b9482,local,231.751,None,//:all,None,0,failed
bazel-diff,build,7,e3444d7c42f48d704aabebdbccb3d8963f2a01ba,local,225.211,None,//:all,None,0,failed
bazel-diff,build,5,bf2a1ec5257727fa7b5a265916c503e7132b9482,local,233.267,None,//:all,None,0,failed
bazel-diff,build,5,bf2a1ec5257727fa7b5a265916c503e7132b9482,local,233.085,None,//:all,None,0,failed
bazel-diff,build,5,bf2a1ec5257727fa7b5a265916c503e7132b9482,local,230.658,None,//:all,None,0,failed
bazel-diff,build,6,7af2d2fbf5b316ef219304f81be451126dcd6e88,local,None,None,//:all,None,0,failed
bazel-diff,build,7,e3444d7c42f48d704aabebdbccb3d8963f2a01ba,local,268.359,None,//:all,None,0,failed
bazel-diff,build,8,900a082db02cdbab704f8d9978923bbb4b422633,local,279.804,None,//:all,None,0,failed
bazel-diff,build,6,7af2d2fbf5b316ef219304f81be451126dcd6e88,local,279.785,None,//:all,None,0,failed
bazel-diff,build,6,7af2d2fbf5b316ef219304f81be451126dcd6e88,local,272.482,None,//:all,None,0,failed
bazel-diff,build,6,7af2d2fbf5b316ef219304f81be451126dcd6e88,local,275.255,None,//:all,None,0,failed
bazel-diff,build,8,900a082db02cdbab704f8d9978923bbb4b422633,local,None,None,//:all,None,0,failed
bazel-diff,build,9,2fb7a33080c63a83f40103d46108d87723956731,local,220.642,None,//:all,None,0,failed
bazel-diff,build,7,e3444d7c42f48d704aabebdbccb3d8963f2a01ba,local,220.888,None,//:all,None,0,failed
bazel-diff,build,9,2fb7a33080c63a83f40103d46108d87723956731,local,219.924,None,//:all,None,0,failed
bazel-diff,build,7,e3444d7c42f48d704aabebdbccb3d8963f2a01ba,local,220.614,None,//:all,None,0,failed
bazel-diff,build,7,e3444d7c42f48d704aabebdbccb3d8963f2a01ba,local,220.611,None,//:all,None,0,failed
bazel-diff,build,8,900a082db02cdbab704f8d9978923bbb4b422633,local,233.436,None,//:all,None,0,failed
