project,build_target,test_target
GoogleCloudPlatform_k8s-cluster-bundle,//...,
GoogleCloudPlatform_testgrid,//...,
KhronosGroup_SPIRV-Headers,//...,
abseil_abseil-cpp,//..,
abseil_abseil-py,//...,
adobe_rules_gitops,//...,
arximboldi_immer,//...,
arximboldi_zug,//...,
autodiff_autodiff,//...,
bazelbuild_bazel-toolchains,//...,
bazelbuild_rules_cc,//...,
bazelbuild_rules_closure,//...,
bazelbuild_rules_pkg,//...,
bazelbuild_starlark,//...,
bazelbuild_vscode-bazel,//...,
buildbuddy-io_rules_xcodeproj,,
chenshuo_muduo,//...,
deepmind_reverb,//...,
dropbox_dbx_build_tools,//...,
google_cel-cpp,//...,
google_cel-go,//...,
google_cel-spec,//...,
google_clif,//...,
google_copybara,//java/com/google/copybara,
google_guice,//...,
googleapis_gapic-generator-go,//...,
googlecloudrobotics_core,//...,
grpc-ecosystem_grpc-httpjson-transcoding,//...,
jupp0r_prometheus-cpp,//...,
keras-team_keras,,
masc-ucsc_livehd,//...,
nii-yamagishilab_self-attention-tacotron,,
nlohmann_json,//...,
opencivicdata_ocd-division-ids,//...,
openconfig_gnoi,//...,
petitparser_java-petitparser,...:all,
pytorch_cpuinfo,//...,
ryanhaining_cppitertools,//...,
salesforce_rules_spring,//...,
skypjack_entt,//...,
tensorflow_model-optimization,//...,
tensorflow_privacy,//...,
tweag_rules_nixpkgs,//...,
yuxiangw_autodp,//...,
