project,subcommand,id,commit,cache_type,elapsed_time,critical_path,target,processes,cache_hit,status
stout,build,0,6d07d886d3b32bd35bcf186156ca6d7a4b814d00,local,None,None,//:all,None,0,failed
stout,build,0,6d07d886d3b32bd35bcf186156ca6d7a4b814d00,local,None,None,//:all,None,0,failed
stout,build,0,6d07d886d3b32bd35bcf186156ca6d7a4b814d00,local,None,None,//:all,None,0,failed
stout,build,0,6d07d886d3b32bd35bcf186156ca6d7a4b814d00,local,None,None,//:all,None,0,failed
stout,build,0,6d07d886d3b32bd35bcf186156ca6d7a4b814d00,local,None,None,//:all,None,0,failed
stout,build,1,aac8a619f86e293cb671c1fcd544d5d1b739c3d0,local,202.359,None,//:all,None,0,failed
stout,build,2,3296b896d74ebe8773cce89b15e0124fa87b45ac,local,155.819,None,//:all,None,0,failed
stout,build,1,aac8a619f86e293cb671c1fcd544d5d1b739c3d0,local,297.496,None,//:all,None,0,failed
stout,build,1,aac8a619f86e293cb671c1fcd544d5d1b739c3d0,local,298.505,None,//:all,None,0,failed
stout,build,1,aac8a619f86e293cb671c1fcd544d5d1b739c3d0,local,298.045,None,//:all,None,0,failed
stout,build,1,aac8a619f86e293cb671c1fcd544d5d1b739c3d0,local,300.029,None,//:all,None,0,failed
stout,build,3,d9d782b1ecb9a3ab7458cf00a4b4d7c680afe7c8,local,244.122,None,//:all,None,0,failed
stout,build,2,3296b896d74ebe8773cce89b15e0124fa87b45ac,local,227.644,None,//:all,None,0,failed
stout,build,2,3296b896d74ebe8773cce89b15e0124fa87b45ac,local,227.296,None,//:all,None,0,failed
stout,build,2,3296b896d74ebe8773cce89b15e0124fa87b45ac,local,223.521,None,//:all,None,0,failed
stout,build,2,3296b896d74ebe8773cce89b15e0124fa87b45ac,local,217.183,None,//:all,None,0,failed
stout,build,3,d9d782b1ecb9a3ab7458cf00a4b4d7c680afe7c8,local,241.423,None,//:all,None,0,failed
stout,build,3,d9d782b1ecb9a3ab7458cf00a4b4d7c680afe7c8,local,253.15,None,//:all,None,0,failed
stout,build,3,d9d782b1ecb9a3ab7458cf00a4b4d7c680afe7c8,local,251.768,None,//:all,None,0,failed
stout,build,3,d9d782b1ecb9a3ab7458cf00a4b4d7c680afe7c8,local,251.157,None,//:all,None,0,failed
stout,build,4,89468abf13d5d4a2daa32c4d1149084a7cd20e2b,local,251.946,None,//:all,None,0,failed
stout,build,5,072cadf3aebfea80923163505f9651cc86a9c092,local,227.975,None,//:all,None,0,failed
