project,subcommand,elapsed_time,critical_path,parallelism,target
arximboldi_immer,build,44.73,0.11,1,//:all
arximboldi_immer,build,66.386,0.19,1,//:all
arximboldi_immer,build,66.685,0.28,1,//:all
arximboldi_immer,build,67.811,0.2,1,//:all
arximboldi_immer,build,67.8,0.21,1,//:all
arximboldi_immer,build,66.353,0.12,1,//:all
arximboldi_immer,build,65.801,0.19,1,//:all
arximboldi_immer,build,66.057,0.12,1,//:all
arximboldi_immer,build,66.153,0.24,1,//:all
arximboldi_immer,build,66.778,0.13,1,//:all
google_cpu_features,build,123.154,69.0,1,//:all
google_cpu_features,build,129.799,66.09,1,//:all
google_cpu_features,build,130.622,66.23,1,//:all
google_cpu_features,build,134.839,65.29,1,//:all
google_cpu_features,build,133.272,63.88,1,//:all
google_cpu_features,build,134.874,64.79,1,//:all
google_cpu_features,build,134.574,64.16,1,//:all
google_cpu_features,build,134.407,63.23,1,//:all
google_cpu_features,build,135.624,64.8,1,//:all
google_cpu_features,build,136.827,63.49,1,//:all
google_cpu_features,test,124.053,69.1,1,//...
google_cpu_features,test,138.366,66.04,1,//...
google_cpu_features,test,140.774,67.65,1,//...
google_cpu_features,test,140.374,66.78,1,//...
google_cpu_features,test,136.998,64.93,1,//...
google_cpu_features,test,140.173,67.1,1,//...
google_cpu_features,test,137.17,65.39,1,//...
google_cpu_features,test,138.14,66.05,1,//...
google_cpu_features,test,139.072,66.54,1,//...
google_cpu_features,test,137.602,65.27,1,//...
tensorflow_federated,build,313.126,0.09,1,//:all
tensorflow_federated,build,286.161,0.3,1,//:all
tensorflow_federated,build,233.499,0.03,1,//:all
tensorflow_federated,build,317.753,0.08,1,//:all
tensorflow_federated,build,236.389,0.09,1,//:all
tensorflow_federated,build,343.264,0.08,1,//:all
tensorflow_federated,build,336.312,0.09,1,//:all
tensorflow_federated,build,305.708,0.1,1,//:all
tensorflow_federated,build,327.275,0.08,1,//:all
tensorflow_federated,build,361.317,0.08,1,//:all
abseil_abseil-py,build,41.358,0.11,1,//:all
abseil_abseil-py,build,47.825,0.17,1,//:all
abseil_abseil-py,build,54.365,0.17,1,//:all
abseil_abseil-py,build,54.233,0.21,1,//:all
abseil_abseil-py,build,54.448,0.12,1,//:all
abseil_abseil-py,build,54.817,0.12,1,//:all
abseil_abseil-py,build,54.77,0.19,1,//:all
abseil_abseil-py,build,54.743,0.11,1,//:all
abseil_abseil-py,build,54.877,0.18,1,//:all
abseil_abseil-py,build,55.083,0.18,1,//:all
opencurve_curve,build,35.186,0.03,1,//:all
opencurve_curve,build,59.996,0.1,1,//:all
opencurve_curve,build,60.947,0.1,1,//:all
opencurve_curve,build,61.27,0.04,1,//:all
opencurve_curve,build,59.299,0.04,1,//:all
opencurve_curve,build,64.223,0.09,1,//:all
opencurve_curve,build,58.169,0.09,1,//:all
opencurve_curve,build,58.277,0.17,1,//:all
opencurve_curve,build,58.322,0.06,1,//:all
opencurve_curve,build,59.557,0.09,1,//:all
lowRISC_opentitan,build,675.046,333.11,1,//:all
lowRISC_opentitan,build,695.615,332.79,1,//:all
lowRISC_opentitan,build,707.386,335.97,1,//:all
lowRISC_opentitan,build,707.475,333.6,1,//:all
lowRISC_opentitan,build,727.401,329.29,1,//:all
lowRISC_opentitan,build,741.012,324.97,1,//:all
lowRISC_opentitan,build,764.693,322.31,1,//:all
lowRISC_opentitan,build,772.722,322.39,1,//:all
lowRISC_opentitan,build,772.975,320.36,1,//:all
lowRISC_opentitan,build,786.106,312.89,1,//:all
tensorflow_privacy,build,50.41,0.18,1,//:all
tensorflow_privacy,build,60.088,0.12,1,//:all
tensorflow_privacy,build,60.605,0.18,1,//:all
tensorflow_privacy,build,60.716,0.13,1,//:all
tensorflow_privacy,build,60.848,0.09,1,//:all
tensorflow_privacy,build,60.513,0.1,1,//:all
tensorflow_privacy,build,62.011,0.12,1,//:all
tensorflow_privacy,build,60.809,0.12,1,//:all
tensorflow_privacy,build,61.585,0.2,1,//:all
tensorflow_privacy,build,63.042,0.19,1,//:all
google_copybara,build,49.813,0.11,1,//:all
google_copybara,build,64.266,0.2,1,//:all
google_copybara,build,62.957,0.12,1,//:all
google_copybara,build,63.821,0.17,1,//:all
google_copybara,build,63.177,0.21,1,//:all
google_copybara,build,63.058,0.18,1,//:all
google_copybara,build,64.096,0.18,1,//:all
google_copybara,build,63.997,0.29,1,//:all
google_copybara,build,63.737,0.18,1,//:all
google_copybara,build,63.623,0.11,1,//:all
