project,subcommand,elapsed_time,critical_path,parallelism,target
ERGO-Code_HiGHS,build,104.479,94.64,8,//:all
ERGO-Code_HiGHS,build,104.657,91.38,8,//:all
ERGO-Code_HiGHS,build,108.317,94.55,8,//:all
ERGO-Code_HiGHS,build,109.099,98.61,8,//:all
ERGO-Code_HiGHS,build,112.373,101.93,8,//:all
ERGO-Code_HiGHS,build,113.16,100.38,8,//:all
ERGO-Code_HiGHS,build,117.323,102.52,8,//:all
ERGO-Code_HiGHS,build,120.912,107.27,4,//:all
ERGO-Code_HiGHS,build,125.235,110.65,4,//:all
ERGO-Code_HiGHS,build,222.787,202.7,2,//:all
ERGO-Code_HiGHS,build,223.241,204.06,2,//:all
ERGO-Code_HiGHS,build,264.621,251.71,4,//:all
ERGO-Code_HiGHS,build,268.736,255.8,4,//:all
ERGO-Code_HiGHS,build,271.637,258.2,4,//:all
ERGO-Code_HiGHS,build,273.54,256.88,4,//:all
ERGO-Code_HiGHS,build,275.026,259.46,4,//:all
ERGO-Code_HiGHS,build,278.514,264.83,4,//:all
ERGO-Code_HiGHS,build,283.178,255.96,4,//:all
ERGO-Code_HiGHS,build,288.874,261.38,4,//:all
ERGO-Code_HiGHS,build,49.54,39.6,16,//:all
ERGO-Code_HiGHS,build,55.064,44.9,16,//:all
ERGO-Code_HiGHS,build,55.149,45.1,16,//:all
ERGO-Code_HiGHS,build,55.799,45.86,16,//:all
ERGO-Code_HiGHS,build,56.788,46.29,16,//:all
ERGO-Code_HiGHS,build,58.127,46.62,16,//:all
ERGO-Code_HiGHS,build,59.083,49.05,16,//:all
ERGO-Code_HiGHS,build,59.346,47.41,16,//:all
ERGO-Code_HiGHS,build,60.908,49.3,16,//:all
ERGO-Code_HiGHS,build,61.097,50.09,16,//:all
ERGO-Code_HiGHS,build,815.147,796.37,2,//:all
ERGO-Code_HiGHS,build,816.861,799.65,2,//:all
ERGO-Code_HiGHS,build,849.754,817.7,2,//:all
ERGO-Code_HiGHS,build,860.289,804.08,2,//:all
ERGO-Code_HiGHS,build,861.463,832.47,2,//:all
ERGO-Code_HiGHS,build,867.189,806.61,2,//:all
ERGO-Code_HiGHS,build,875.348,816.11,2,//:all
ERGO-Code_HiGHS,build,881.634,713.3,2,//:all
ERGO-Code_HiGHS,build,93.604,81.59,8,//:all
ERGO-Code_HiGHS,build,99.391,88.21,8,//:all
ERGO-Code_HiGHS,build,99.441,85.94,8,//:all
GoogleCloudDataproc_initialization-actions,build,10.726,0.54,4,//:all
GoogleCloudDataproc_initialization-actions,build,11.078,0.19,8,//:all
GoogleCloudDataproc_initialization-actions,build,11.613,1.19,2,//:all
GoogleCloudDataproc_initialization-actions,build,11.689,0.47,2,//:all
GoogleCloudDataproc_initialization-actions,build,11.746,0.84,4,//:all
GoogleCloudDataproc_initialization-actions,build,11.814,0.78,4,//:all
