project,subcommand,elapsed_time,critical_path,parallelism,target
ERGO-Code_HiGHS,build,1565.639,1286.64,1,//:all
ERGO-Code_HiGHS,build,1560.083,1291.08,1,//:all
ERGO-Code_HiGHS,build,1565.462,1292.84,1,//:all
ERGO-Code_HiGHS,build,1564.217,1291.39,1,//:all
ERGO-Code_HiGHS,build,1561.113,1294.91,1,//:all
ERGO-Code_HiGHS,build,1569.411,1291.15,1,//:all
ERGO-Code_HiGHS,build,1567.803,1295.24,1,//:all
ERGO-Code_HiGHS,build,1563.241,1294.24,1,//:all
ERGO-Code_HiGHS,build,1563.855,1296.21,1,//:all
ERGO-Code_HiGHS,build,1576.061,1302.66,1,//:all
GoogleCloudDataproc_initialization-actions,build,312.576,2.1,1,//:all
GoogleCloudDataproc_initialization-actions,build,305.775,2.15,1,//:all
GoogleCloudDataproc_initialization-actions,build,305.8,1.73,1,//:all
GoogleCloudDataproc_initialization-actions,build,292.253,5.47,1,//:all
GoogleCloudDataproc_initialization-actions,build,308.306,5.37,1,//:all
GoogleCloudDataproc_initialization-actions,build,265.523,4.58,1,//:all
GoogleCloudDataproc_initialization-actions,build,307.11,4.65,1,//:all
GoogleCloudDataproc_initialization-actions,build,271.26,5.28,1,//:all
GoogleCloudDataproc_initialization-actions,build,292.333,5.45,1,//:all
GoogleCloudDataproc_initialization-actions,build,291.855,2.36,1,//:all
GoogleContainerTools_base-images-docker,build,265.858,0.11,1,//:all
GoogleContainerTools_base-images-docker,build,266.07,0.12,1,//:all
GoogleContainerTools_base-images-docker,build,281.043,0.14,1,//:all
GoogleContainerTools_base-images-docker,build,264.156,0.19,1,//:all
GoogleContainerTools_base-images-docker,build,268.56,0.17,1,//:all
GoogleContainerTools_base-images-docker,build,268.588,0.1,1,//:all
GoogleContainerTools_base-images-docker,build,254.869,0.1,1,//:all
GoogleContainerTools_base-images-docker,build,261.269,0.08,1,//:all
GoogleContainerTools_base-images-docker,build,254.925,0.03,1,//:all
GoogleContainerTools_base-images-docker,build,255.131,0.1,1,//:all
KhronosGroup_SPIRV-Reflect,build,301.758,16.17,1,//:all
