project,subcommand,elapsed_time,critical_path,parallelism,target
google_benchmark,build,90.909,40.54,1,//:all
google_benchmark,build,88.339,41.15,1,//:all
google_benchmark,build,110.24,39.62,1,//:all
google_benchmark,build,109.545,39.26,1,//:all
google_benchmark,build,109.896,40.44,1,//:all
google_benchmark,build,110.423,38.45,1,//:all
google_benchmark,build,111.662,38.7,1,//:all
google_benchmark,build,109.004,38.11,1,//:all
google_benchmark,build,113.416,38.84,1,//:all
google_benchmark,build,112.27,39.16,1,//:all
VirusTotal_yara,build,532.197,475.13,1,//:all
VirusTotal_yara,build,528.997,463.92,1,//:all
VirusTotal_yara,build,538.025,467.01,1,//:all
VirusTotal_yara,build,562.362,475.9,1,//:all
VirusTotal_yara,build,602.726,500.69,1,//:all
VirusTotal_yara,build,603.114,498.79,1,//:all
VirusTotal_yara,build,602.704,497.65,1,//:all
VirusTotal_yara,build,604.86,508.29,1,//:all
VirusTotal_yara,build,604.2,505.95,1,//:all
VirusTotal_yara,build,604.175,500.2,1,//:all
cartographer-project_cartographer,build,60.976,0.19,1,//:all
cartographer-project_cartographer,build,71.216,0.12,1,//:all
cartographer-project_cartographer,build,61.261,0.18,1,//:all
cartographer-project_cartographer,build,60.857,0.2,1,//:all
cartographer-project_cartographer,build,66.932,0.2,1,//:all
cartographer-project_cartographer,build,74.835,0.19,1,//:all
cartographer-project_cartographer,build,74.807,0.16,1,//:all
cartographer-project_cartographer,build,75.334,0.1,1,//:all
cartographer-project_cartographer,build,74.665,0.17,1,//:all
cartographer-project_cartographer,build,73.551,0.19,1,//:all
google_glog,build,136.742,72.56,1,//:all
google_glog,build,143.907,72.31,1,//:all
google_glog,build,143.664,71.31,1,//:all
google_glog,build,137.973,70.33,1,//:all
google_glog,build,138.241,71.24,1,//:all
google_glog,build,138.375,71.29,1,//:all
google_glog,build,140.659,73.17,1,//:all
google_glog,build,145.351,72.87,1,//:all
google_glog,build,145.064,73.61,1,//:all
google_glog,build,146.343,72.45,1,//:all
