project#num_files#num_lines
google_fruit#281#18361
google_fully-homomorphic-encryption#245#16696
baidu_braft#116#26171
google_crubit#436#61631
google_closure-compiler#1923#518625
pytorch_cpuinfo#251#296835
lineage-rpi_android_kernel_brcm_rpi#57327#21894288
kubevirt_kubevirt#1283#350240
bazelbuild_rules_closure#176#9199
dreal_dreal4#255#30119
twitter_util#773#76915
google_skia#7745#982693
bazelbuild_vscode-bazel#45#3260
petitparser_java-petitparser#96#8062
pytorch_pytorch#9866#2176665
buchgr_bazel-remote#63#18318
grpc_grpc-java#1603#248881
sogou_srpc#96#16896
grpc-ecosystem_grpc-httpjson-transcoding#62#9588
tensorflow_tensorflow#16466#3384867
GerritCodeReview_gerrit#4294#555886
google_cel-go#196#58510
abseil_abseil-py#74#17914
GoogleCloudPlatform_buildpacks#738#65196
pinterest_plank#102#20397
google_perfetto#2429#310928
bazelbuild_bazelisk#18#2648
3rdparty_stout#316#27634
p4lang_PI#290#52513
googlesamples_android-testdpc#168#28321
protocolbuffers_upb#317#49236
tensorflow_gnn#189#32409
bazelbuild_bazel-toolchains#14#2064
GoogleCloudPlatform_k8s-cluster-bundle#141#10976
tensorflow_model-optimization#211#27291
tensorflow_recommenders-addons#269#56577
emperror_emperror#30#1734
google_ruy#109#27147
pytorch_TensorRT#2214#1064873
ddiakopoulos_tinyply#6#5799
google_deepvariant#316#58079
KDAB_Charm#273#23898
google_copybara#630#81460
tensorflow_estimator#156#66976
realm_SwiftLint#558#52122
morganstanley_modern-cpp-kafka#73#9354
alibaba_async_simple#770#121225
NVIDIA_tensorflow#11597#2501722
vaticle_typeql#111#13008
bazelbuild_rules_foreign_cc#78#1151
jbeder_yaml-cpp#308#82552
ERGO-Code_HiGHS#501#224537
bazelbuild_rules_kotlin#209#32772
googleapis_api-common-protos#58#1350
vaticle_typedb-ml#27#1428
protocolbuffers_protobuf-javascript#161#36310
envoyproxy_envoy-filter-example#9#231
chipsalliance_verible#850#161893
uber_ios-snapshot-test-case#29#1565
skypjack_entt#184#71487
nfomon_shok#252#18088
thought-machine_please#551#56848
google_allocation-instrumenter#18#1787
openconfig_gnmi#89#23986
keras-team_keras#726#195925
tensorflow_mlir-hlo#354#72194
rabbitmq_rabbitmq-server#1758#279929
sourcegraph_sourcegraph#8280#1248315
jpsim_SourceKitten#130#8375
pantsbuild_pants#1491#222587
jesec_rtorrent#210#27574
v8_v8#12523#2493764
grpc_grpc#4996#672637
cloudflare_workerd#278#78095
thesayyn_protoc-gen-ts#130#35437
nanopb_nanopb#298#18344
google_flatbuffers#1316#202372
batfish_batfish#5314#689269
SeleniumHQ_selenium-ide#534#41502
googlecodelabs_tools#661#85422
firedancer-io_firedancer#264#40564
StackStorm_st2#1071#124937
nlohmann_json#460#103040
KhronosGroup_SPIRV-Headers#43#28871
bentoml_BentoML#695#54976
bazel-xcode_xchammer#98#8712
martian-lang_martian#264#55340
google_gapid#2072#258209
google_lisp-koans#68#3834
protocolbuffers_protobuf#1668#581606
chenshuo_muduo#338#28788
ApolloAuto_apollo#4673#477325
aosp-mirror_platform_external_protobuf#1837#614076
openxla_xla#3248#695288
twitter_scrooge#588#58775
eclipse-iceoryx_iceoryx#1160#113778
google_promises#110#7737
google_centipede#117#12866
oppia_oppia-android#1667#232339
google_go-jsonnet#88#253603
google_desugar_jdk_libs#8726#1525897
alibaba_DeepRec#12386#2684525
cython_cython#2149#174266
google_highway#118#55352
google_guice#648#73664
GoogleCloudPlatform_testgrid#158#59003
dfinity_ic#3443#648289
kubevirt_containerized-data-importer#354#132262
