project#ci_tool#build_tool#raw_arguments#local_cache#remote_cache#parallelism#cores#invoked_by_script
google_crubit#buildkite#bazel#build --repo_env=CC=clang //rs_bindings_from_cc:rs_bindings_from_cc_impl //rs_bindings_from_cc:importer_test //rs_bindings_from_cc:cc_collect_instantiations_test //rs_bindings_from_cc:collect_instantiations_test //rs_bindings_from_cc:bazel_types_test //rs_bindings_from_cc:cmdline_test //rs_bindings_from_cc:rs_ir_test //cc_template/... //lifetime_analysis/... --config=generic_clang --config=generic_clang#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test -c dbg --spawn_strategy=standalone --noincompatible_enable_cc_toolchain_resolution //... //:third_party_examples_macos_tests#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#build --noincompatible_enable_cc_toolchain_resolution //... //:third_party_examples_macos_tests -@rules_foreign_cc_examples_third_party//curl:curl_test -@rules_foreign_cc_examples_third_party//openssl:openssl_test#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test --noincompatible_enable_cc_toolchain_resolution //... //:third_party_examples_macos_tests -@rules_foreign_cc_examples_third_party//curl:curl_test -@rules_foreign_cc_examples_third_party//openssl:openssl_test#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#build  //... //:third_party_examples_windows_tests -//cmake_android/... -//cmake_defines/... -//cmake_synthetic/... -//cmake_hello_world_lib/shared/... -//ninja_simple/... -//cmake_hello_world_lib/static:libhello -//cmake_hello_world_lib/static:libhello_example -//cmake_hello_world_lib/static:test_hello -//cmake_with_data/...#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test  //... //:third_party_examples_windows_tests -//cmake_android/... -//cmake_defines/... -//cmake_synthetic/... -//cmake_hello_world_lib/shared/... -//ninja_simple/... -//cmake_hello_world_lib/static:libhello -//cmake_hello_world_lib/static:libhello_example -//cmake_hello_world_lib/static:test_hello -//cmake_with_data/...#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test  //:flags_test#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test  //:flags_test#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test  //:flags_test#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test  //:flags_test#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test  //:tests#False#True#200#2#False
bazelbuild_rules_foreign_cc#buildkite#bazel#test  //:tests#False#True#200#2#False
